Number	x	y	species	dbh	height
634	61.024	99.056	23	5	0
660	32.046	78.35	23	5	0
663	67.699	77.228	23	5	0
829	39.716	98.782	29	5	0
850	85.551	76.301	29	5	0
865	52.406	66.158	29	5	0
954	39.951	89.676	32	5	0
1219	54.022	71.757	41	5	0
1236	73.02	100.421	44	5	0
1248	1.267	75.188	44	5	0
1255	63.357	67.574	44	5	0
1293	30.136	103.457	48	5	0
1367	50.194	64.7	48	5	0
1547	22.632	108.726	56	5	0
1569	46.998	103.965	56	5	0
1588	57.859	98.373	56	5	0
1610	7.467	89.599	56	5	0
1623	65.886	85.545	56	5	0
1625	36.469	85.042	56	5	0
1627	71.985	84.291	56	5	0
1684	56.461	72.513	56	5	0
1701	11.929	68.998	56	5	0
1716	46.839	65.269	56	5	0
2229	87.242	67.511	61	5	0
2640	58.87	3.42	61	5	0
2920	8.465	81.161	22	5	0
3334	65.872	95.827	79	5	0
6	22.897	31.937	1	5.1	0
594	45.033	24.858	17	5.1	0
666	27.958	75.802	23	5.1	0
754	50.13	3.32	23	5.1	0
770	10.447	7.106	24	5.1	0
936	65.447	43.039	30	5.1	0
969	12.49	3.833	32	5.1	0
1192	18.328	105	39	5.1	0
1240	26.631	91.881	44	5.1	0
1281	63.395	50.986	46	5.1	0
1493	43.066	46.932	52	5.1	0
1564	47.755	104.616	56	5.1	0
1643	20.855	80.679	56	5.1	0
1647	7.191	79.611	56	5.1	0
1824	47.846	29.226	56	5.1	0
2509	8.449	26.381	61	5.1	0
2795	83.963	33.769	62	5.1	0
2938	22.067	84.961	63	5.1	0
3005	79.126	0.253	63	5.1	0
3025	48.361	24.323	64	5.1	0
3146	80.723	17.344	72	5.1	0
3211	27.945	74.211	74	5.1	0
3281	85.861	13.134	74	5.1	0
846	59.262	78.415	29	5.2	0
1202	16.374	53.917	39	5.2	0
1215	88.14	9.095	39	5.2	0
1420	87.89	33.098	48	5.2	0
1630	85.842	83.329	56	5.2	0
1686	28.061	72.289	56	5.2	0
1705	28.726	68.228	56	5.2	0
1754	89.936	47.188	56	5.2	0
1809	43.34	31.294	56	5.2	0
1832	54.111	27.801	56	5.2	0
1870	25.171	21.971	56	5.2	0
2647	5.789	2.349	61	5.2	0
2781	57.596	38.102	62	5.2	0
