Number	x	y	species	dbh	height
1694	59.928	29.287	13	5	0
1700	68.054	38.096	19	5	0
1714	74.899	15.599	20	5	0
1715	45.235	13.793	20	5	0
1720	62.869	3.642	20	5	0
1722	65.919	1.13	20	5	0
1730	98.772	53.398	23	5	0
1849	76.534	4.864	46	5	0
1862	67.923	71.318	47	5	0
1879	61.994	61.875	47	5	0
1890	86.838	53.832	47	5	0
1981	93.341	53.25	56	5	0
2017	73.393	25.591	56	5	0
2788	48.063	13.399	61	5	0
2821	72.495	77.105	28	5	0
2825	66.221	72.094	28	5	0
2845	85.12	61.047	28	5	0
2872	97.994	51.223	28	5	0
2903	64.838	31.405	28	5	0
2916	70.111	28.476	28	5	0
2928	71.375	26.934	28	5	0
2969	40.086	14.153	28	5	0
2975	46.76	12.808	28	5	0
2978	48.083	11.893	28	5	0
2983	55.888	10.568	28	5	0
3027	78.779	13.998	70	5	0
3035	68.554	9.085	73	5	0
3054	62.698	3.511	75	5	0
1729	98.896	53.616	23	5.1	0
1863	38.358	70.729	47	5.1	0
2742	71.202	52.625	61	5.1	0
2815	68.394	2.685	61	5.1	0
2828	59.006	70.997	28	5.1	0
2844	58.424	61.224	28	5.1	0
2917	38.648	28.439	28	5.1	0
2927	88.911	27.194	28	5.1	0
2962	52.008	17.027	28	5.1	0
1695	92.209	20.043	14	5.2	0
1775	93.036	59.308	33	5.2	0
1813	37.093	28.229	38	5.2	0
1818	69.442	32.42	41	5.2	0
1856	80.923	75.806	47	5.2	0
1861	62.557	72.059	47	5.2	0
1938	70.497	21.168	47	5.2	0
1998	70.177	38.486	56	5.2	0
2350	2.947	49.386	60	5.2	0
2780	18.872	18.207	61	5.2	0
2832	72.948	68.482	28	5.2	0
2886	51.048	40.374	28	5.2	0
2889	75.752	36.518	28	5.2	0
2890	65.036	36.165	28	5.2	0
2911	41.134	29.606	28	5.2	0
2937	58.747	23.764	28	5.2	0
3037	43.094	0.232	73	5.2	0
1690	23.157	74.297	13	5.3	0
1753	31.649	73.059	32	5.3	0
1878	69.775	63.095	47	5.3	0
1983	8.916	50.984	56	5.3	0
1996	98.04	38.858	56	5.3	0
2030	80.426	15.65	56	5.3	0
2058	89.347	7.296	59	5.3	0
2852	71.117	58.273	28	5.3	0
2862	52.288	55.16	28	5.3	0
2901	64.731	31.705	28	5.3	0
2920	50.487	28.132	28	5.3	0
2924	34.336	27.521	28	5.3	0
1733	65.122	66.819	29	5.4	0
1744	83.318	28.625	29	5.4	0
1750	68.562	66.054	30	5.4	0
1812	75.088	31.042	38	5.4	0
1909	38.956	37.034	47	5.4	0
1941	68.22	16.958	47	5.4	0
1968	69.324	65.005	48	5.4	0
1974	33.967	69.016	53	5.4	0
1976	70.541	74.365	56	5.4	0
1995	16.243	38.939	56	5.4	0
2725	1.116	70.188	61	5.4	0
2743	4.667	50.642	61	5.4	0
2803	52.195	7.523	61	5.4	0
2827	63.395	71.467	28	5.4	0
2933	39.249	26.034	28	5.4	0
2956	41.317	19.323	28	5.4	0
2989	17.632	8.906	28	5.4	0
3002	3.532	71.375	67	5.4	0
3046	89.797	21.382	75	5.4	0
3055	66.83	12.64	76	5.4	0
1691	17.543	63.007	13	5.5	0
1702	72.794	4.928	19	5.5	0
1769	61.035	34.691	32	5.5	0
1816	72.763	10.585	38	5.5	0
1847	78.247	22.973	46	5.5	0
1872	86.167	65.743	47	5.5	0
1884	82.327	56.625	47	5.5	0
2013	70.253	29.733	56	5.5	0
2015	67.778	27.056	56	5.5	0
2028	75.815	19.229	56	5.5	0
2029	31.93	15.671	56	5.5	0
2721	4.218	72.3	61	5.5	0
2810	21.294	4.529	61	5.5	0
2811	15.887	4.079	61	5.5	0
2848	56.925	60.197	28	5.5	0
2895	56.78	34.405	28	5.5	0
2918	51.036	28.325	28	5.5	0
2921	16.993	27.846	28	5.5	0
2950	35.538	21.229	28	5.5	0
2996	81.785	4.205	28	5.5	0
1681	51.224	74.773	8	5.6	0
1704	22.616	64.575	20	5.6	0
1848	76.467	4.992	46	5.6	0
1881	71.855	57.801	47	5.6	0
2004	23.704	34.777	56	5.6	0
2749	73.694	41.304	61	5.6	0
2958	42.466	18.89	28	5.6	0
1836	77.946	22.344	44	5.7	0
1966	34.073	78.894	48	5.7	0
1967	59.844	75.929	48	5.7	0
2051	71.92	0.824	56	5.7	0
2741	8.19	52.725	61	5.7	0
2819	39.606	1.713	61	5.7	0
2861	84.226	55.184	28	5.7	0
2909	78.667	29.797	28	5.7	0
2984	59.473	10.565	28	5.7	0
3023	23.44	24.754	70	5.7	0
3034	48.19	9.59	73	5.7	0
1693	16.579	57.519	13	5.8	0
1735	53.276	47.773	29	5.8	0
1771	44.077	28.468	32	5.8	0
1792	0.342	52.552	34	5.8	0
1895	94.464	45.095	47	5.8	0
1933	28.404	23.76	47	5.8	0
1986	31.882	44.991	56	5.8	0
2717	0.296	75.182	61	5.8	0
2752	42.467	38.185	61	5.8	0
2841	67.267	62.838	28	5.8	0
