Tree	x	y	dbh	species	height
1	0.1639	51.8057	8.2	1	0
2	0.4519	50.8498	11	1	0
3	2.1202	49.4361	10.3	1	0
4	3.1773	47.9719	8	1	0
5	2.8111	46.423	11.7	1	0
6	3.6805	44.3217	8.3	1	0
7	4.7314	41.9144	14.7	1	0
8	2.3331	45.0655	7	1	0
9	2.6345	43.1786	10.5	1	0
10	2.9147	41.2922	12	1	0
11	3.6128	39.6693	9.3	1	0
12	5.1277	40.144	16.2	1	0
13	3.2691	38.4207	8	1	0
14	3.5396	37.4984	8.2	1	0
15	5.1075	37.059	13.3	1	0
16	3.2193	36.2651	11.7	1	0
17	3.8473	35.3916	8.3	1	0
18	5.842	35.6214	10	1	0
19	5.8618	34.013	15.4	1	0
20	6.4822	32.5906	11.4	1	0
21	5.4883	31.5271	6	5	0
22	5.334	30.95	8.1	5	0
23	7.0649	31.0952	9.9	1	0
24	7.3803	29.648	8.5	1	0
25	8.0126	28.5779	7.3	3	0
26	8.1314	28.2483	6.3	1	0
27	6.8856	28.0982	5	1	0
28	6.2608	26.6139	10.4	1	0
29	9.1789	26.9705	16.9	1	0
30	9.3885	25.603	6.8	7	0
31	9.0135	24.9047	7.5	1	0
32	11.3085	26.3294	11.8	1	0
33	11.3052	24.2284	12.7	1	0
34	11.9476	22.825	14	1	0
35	12.6256	21.6425	12.2	1	0
36	13.1008	20.7833	13	1	0
37	9.1832	23.0824	11.7	1	0
38	10.198	21.0731	9.2	1	0
39	12.9697	16.3949	9	1	0
40	13.2636	15.1708	10.3	2	0
41	11.299	15.3857	11.3	1	0
42	11.0394	12.9523	11.7	1	0
43	11.3082	11.4445	13.1	1	0
44	10.9185	9.5879	7.5	1	0
45	10.9144	8.241	15.7	1	0
46	9.7754	9.1019	14.5	1	0
47	9.7069	6.543	9.5	1	0
48	9.8771	4.544	11.8	1	0
49	8.4683	5.197	9.4	1	0
50	7.4013	5.9256	13.2	1	0
51	7.353	7.383	11.3	1	0
52	6.4551	8.701	8.9	2	0
53	5.7653	10.66	15.8	1	0
54	5.8867	13.6796	11.9	1	0
55	8.4961	11.1702	9.9	1	0
56	8.095	12.7249	9.8	1	0
57	7.8144	14.3474	6.5	1	0
58	7.5961	15.9344	14.3	1	0
59	7.518	17.2007	8	1	0
60	9.572	17.932	9.1	2	0
61	9.4371	19.9716	11.2	1	0
62	8.6451	21.2792	9.1	1	0
63	7.2245	18.3873	12.7	1	0
64	7.1694	19.8468	10.5	1	0
