Number	x	y	dbh	ht	species
1	0.03097104	36.58897227	8.6	8.5	1
2	1.76338369	47.91344425	15	7.8	1
3	2.55970615	1.845999797	21	10	1
4	9.80431279	42.45215686	11	8.4	1
5	10.30472029	34.60235492	9.9	8	2
6	10.32915076	32.38059646	10.8	6	2
7	11.15105374	39.01812188	5.3	4.3	1
8	11.78518249	21.26417722	13.4	9.6	2
9	13.18255496	39.55492128	12.6	9.5	1
10	13.19186635	39.63040566	12	8.8	1
11	13.554489	48.8435743	9.3	7.6	1
12	13.59176025	48.96152739	12.2	7.6	1
13	13.63189191	48.68295802	11.5	7.6	1
14	13.75393347	48.91003041	9	5.8	1
15	18.21420205	11.31102518	16	9.6	1
16	19.54216711	35.00340239	5.5	4.8	1
17	19.65678176	34.82230167	11.5	6	1
18	19.70019795	37.98377667	6.8	5.6	1
19	19.93619743	44.65496079	14.5	10.2	1
20	20.93787249	41.88307666	14.1	7.6	1
21	20.97698316	0.047237296	6	5	1
22	21.71744279	46.08795331	11.5	8.3	1
23	22.09403367	28.51175626	6.6	5	1
24	22.53074817	2.221077019	8.6	11	1
25	23.56956049	28.87940794	8	8.5	1
26	25.39841231	5.368914312	19.8	9	1
27	26.01539565	29.09720984	7.6	7.5	1
28	26.22472055	24.65806556	6.4	5.6	1
29	26.24507843	1.736991863	11.8	9.4	1
30	26.57768361	41.96566713	6.3	5	1
31	26.6958	49.9429	6.6	5.4	1
32	27.3308417	37.49662385	8.8	5	1
33	27.90599864	26.66860898	10.5	6.5	1
34	28.12282138	22.19864712	5.8	5.2	1
35	28.67540453	21.74903805	6.2	7.2	1
36	29.17476147	32.6297547	14	7.5	1
37	29.22228692	43.82892736	5.4	4.3	1
38	29.9320129	32.53593822	11.3	6	1
39	30.04938363	46.60459696	17.5	12	1
40	30.4073	40.4813	5.9	6	1
41	33.17769928	36.17100543	5.8	4.3	1
42	33.50926504	22.16247728	6	4.3	1
43	34.08867006	40.68538433	4.5	4.5	1
44	34.4343	39.3	4.8	4.2	1
45	34.73522062	32.12128604	5.7	6	1
46	34.93215755	25.48056212	10.5	0.9	1
47	35.08021453	44.63207665	7.5	6	1
48	35.1999	37.3363	6.6	6	1
49	35.50364111	45.22772899	9	5.8	1
50	35.50685036	22.42569273	5.8	5	1
51	36.68299002	24.59367242	4.3	5.2	1
52	36.86811533	43.37327118	13.8	9.3	1
53	37.22529353	3.623159763	7.1	6.5	1
54	37.74495847	1.715236518	4.6	6.5	1
55	38.19692291	32.04693637	17.3	7.5	1
56	38.38065793	27.15644226	5.1	5.5	1
57	38.5809	38.5908	9.8	7.4	1
58	38.63153956	42.28473441	4.8	6	1
59	38.71596977	45.94413321	7.3	9.7	1
60	39.02605362	15.56329422	17.7	7.7	1
61	39.59281291	38.04565949	12.1	12	1
62	39.69884863	36.87380615	5.1	4.9	1
63	39.81110839	7.259353726	4.9	5.6	1
64	41.07058624	2.318242897	5.6	5	1
65	41.7631	49.1187	12.5	9	1
66	42.54396567	26.63374237	13.5	6	1
67	43.04298596	20.45058978	5.7	5	1
68	43.16618511	41.66650164	10.9	19	1
69	43.33740853	28.55285866	5.5	4.5	1
70	43.45063806	35.84181513	19.9	12.6	1
71	43.71404596	40.03388991	9.8	7.5	1
72	43.93073947	39.24445465	9.5	5.8	1
73	44.04419262	48.12322451	4.8	5.5	1
74	44.59317486	46.75324998	16.5	7.5	1
75	45.15024833	43.93703444	7.3	7.5	1
76	45.28945422	31.59076487	5	5.3	1
77	45.30824814	28.8942717	11	10	1
78	45.41983056	46.72451542	5.4	5.2	1
79	45.90813392	33.47908891	19.5	8	1
80	45.92133093	16.91293187	7.1	5.7	1
81	47.06037331	24.12403454	12.9	7.5	1
82	47.08419987	0.630377682	5.5	5	1
83	47.66912547	34.72502203	15.1	7.5	1
84	48.56914336	1.100767747	7.5	5.8	1
85	48.73273572	22.43069661	13.2	7.8	1
86	48.79633827	44.42771438	5.3	6	1
87	48.819	36.0519	6.8	8	1
88	49.14428232	45.14384706	8.3	6.5	1
89	49.39779377	29.19636026	25	9.5	1
90	49.9147966	40.9614907	20	11	1
91	50.12440943	20.22354634	16.3	13.2	1
92	50.86683091	35.47049194	17.6	13.2	1
93	51.00734934	38.52887556	7.6	7.5	1
94	51.03971054	34.61523835	6.5	5.2	1
95	51.12444391	18.37911463	5.5	5.8	1
96	51.20190144	47.14525098	6	5.8	1
97	51.51552977	33.80288194	17.8	8.6	1
98	51.5204677	6.524223566	19.5	9.6	1
99	51.90826559	36.10158996	21.2	9.6	1
100	52.23250985	8.474097823	5.9	5.3	1
101	52.5972112	35.25192919	5.4	4.8	1
102	52.66834556	19.69719091	4.9	5	1
103	53.01919877	8.971509404	6.1	5	1
104	54.31288064	31.92352074	8.1	6.2	1
105	54.78147744	49.01575333	6.2	6.1	1
106	54.83247028	25.50535499	12	11.2	1
107	55.14406305	26.75185598	15.6	10.3	1
108	55.20140663	21.94057945	8	7.8	1
109	56.11430149	42.11964189	12.9	10	1
110	56.52217987	5.343332515	6.7	7.2	1
111	57.02821634	6.901850568	11.4	9.3	1
112	57.10789487	40.28596053	11.2	8.8	1
113	57.57357159	29.88926361	6	5.6	1
114	58.0665	37.7651	5.7	5.7	1
115	58.43274678	28.0762475	7	7	1
116	58.50469084	8.539529149	10.2	7.3	1
117	58.6511348	22.56701919	5.1	3.8	1
118	59.15153681	18.28977846	6.9	6.1	1
119	59.69632038	22.07884822	15.5	11.4	1
120	59.88926507	20.14839241	13.6	6.6	1
121	60.15537471	39.88327828	11.3	6.6	1
122	60.26306599	25.75165045	5.6	5.8	1
123	60.48021297	18.45105938	4.8	6.8	1
124	60.68111328	5.950331193	5.6	5.2	1
125	60.74996435	18.51898326	17.2	11.5	1
126	60.83742965	44.49393907	16.1	9	1
127	60.89840992	21.80451229	6.1	7.8	1
128	61.03046026	35.66095295	5.5	5.2	1
129	61.58325304	24.90567574	6.4	6.6	1
130	61.58354817	8.677269381	10.1	9.5	1
131	61.65944095	31.49725448	17.9	8	1
132	61.90790559	2.751253142	12.5	7	1
133	62.18618181	41.39550199	5.7	5.8	1
134	63.0731269	33.52250486	5.8	5.6	1
135	63.11626847	46.69667027	11.4	4.8	1
136	63.45643863	16.70075815	5.7	4	1
137	63.69097836	7.236409376	16.1	9.4	1
138	64.16334839	38.89762101	7.7	6.6	1
139	65.51621164	21.21035616	6.8	8	1
