Number	x	y	dbh	species	height
1	3.4186	5.3408	5.1	1	0
2	14.2254	9.8496	6.1	1	0
3	49.6616	65.7127	7.5	1	0
4	40.7868	2.1605	5.2	1	0
5	59.1336	3.539	5.8	1	0
6	67.972	43.6395	6.3	1	0
7	70.0684	62.039	5	1	0
8	62.812	85.0386	8.7	1	0
9	94.4062	67.7159	7.7	1	0
10	92.6117	29.9316	7.5	1	0
11	89.6754	35.4133	8.2	1	0
12	93.8155	36.2004	5.1	1	0
13	7.7641	29.1912	6	2	0
14	8.4178	23.8794	6.2	2	0
15	9.2631	30.7988	6.1	2	0
16	8.1287	31.5815	5.9	2	0
17	3.4958	33.1852	5.6	2	0
18	5.1142	38.4389	6.2	2	0
19	10.242	36.7058	5.7	2	0
20	5.1997	53.7115	5.3	2	0
21	2.6627	50.4616	6.8	2	0
22	4.7419	47.5144	13.2	2	0
23	9.3481	81.4129	15.8	2	0
24	13.9446	87.3344	27.5	2	0
25	23.254	92.5496	5.6	2	0
26	7.4233	3.0174	7	2	0
27	11.3013	10.243	10.5	2	0
28	12.9135	12.165	8.4	2	0
29	17.7946	15.7881	5	2	0
30	16.6109	16.9685	8	2	0
31	10.7269	19.3731	8.1	2	0
32	11.7038	22.1475	5.7	2	0
33	24.7377	30.4108	29.6	2	0
34	28.5366	19.6086	5.4	2	0
35	25.6958	17.2656	5	2	0
36	21.4201	7.1154	14.5	2	0
37	18.3738	10.8211	7.2	2	0
38	19.897	1.472	13.2	2	0
39	24.8537	0.9259	5.5	2	0
40	29.3445	48.2621	5.2	2	0
41	27.1755	44.7047	5.3	2	0
42	24.3388	46.2921	13.5	2	0
43	20.7416	63.4359	34.5	2	0
44	30.6967	61.4209	47.2	2	0
45	28.4036	71.0123	9	2	0
46	30.4269	81.5932	35.8	2	0
47	16.7424	99.4051	8.2	2	0
48	43.0123045	96.85370473	25.7	2	0
49	49.3156	50.2232	49.9	2	0
50	41.2919	49.631	20.2	2	0
51	43.5336	13.385	5.1	2	0
52	52.2009	55.4523	27.2	2	0
53	53.0226	52.899	13.5	2	0
54	69.9134	66.0504	6.3	2	0
55	61.9115	66.3757	6.4	2	0
56	72.2247	67.4611	5	2	0
57	94.9024	53.5863	7.5	2	0
58	95.9036	48.6146	5.3	2	0
59	98.8543	31.1013	42.7	2	0
60	62.44080318	75.92557883	8.2	2	0
61	47.1971	21.8783	16.2	3	0
62	47.3892	22.0427	7.6	3	0
63	67.415	50.4959	9.1	3	0
64	2.0053	22.7529	34.4	4	0
65	1.577	22.4124	34.1	4	0
66	1.5	22.2	17.5	4	0
67	8.4443	32.0759	18.8	4	0
68	8.3288	31.6847	18.1	4	0
69	2.8117	33.9807	6	4	0
70	6.0567	37.8694	15.3	4	0
71	8.2944	37.8105	31.4	4	0
72	3.5172	42.0592	14.9	4	0
73	3.599	54.6264	9.5	4	0
74	15.293	62.423	27	4	0
75	12.3085	66.2629	14.7	4	0
76	11.8577	67.0218	19.5	4	0
77	10.8197	67.6184	19	4	0
78	7.3291	65.5066	13.6	4	0
79	4.5798	71.9251	8.1	4	0
80	3.0925	73.4949	24.1	4	0
81	1.7355	76.8997	32.7	4	0
82	2.2871	77.6577	8.2	4	0
83	1.7781	77.9374	36.1	4	0
84	1.6034	79.3132	6.5	4	0
85	1.5962	79.8879	22	4	0
86	1.1924	80.2605	24.4	4	0
87	16.5781	89.8311	5.3	4	0
88	7.5302	92.963	8.2	4	0
89	7.1524	96.2721	48.3	4	0
90	22.3866	90.7668	7.4	4	0
91	20.3277	90.2439	24	4	0
92	20.4507	90.2068	16.7	4	0
93	20.7986	85.5341	26.5	4	0
94	12.7578	70.8641	45.3	4	0
95	16.1914	69.7384	12.9	4	0
96	14.7861	49.4112	13.7	4	0
97	14.2022	48.5811	15	4	0
98	11.1267	41.3494	13.6	4	0
99	11.7627	23.6566	12.8	4	0
100	17.1901	34.0252	28.8	4	0
101	21.0186	34.3321	18.5	4	0
102	22.0084	24.1964	15.3	4	0
103	27.6902	21.0111	12.9	4	0
104	27.623	20.1576	16	4	0
105	19.9099	7.3199	19.1	4	0
106	29.72	26.3027	31.9	4	0
107	34.92	46.6693	12.7	4	0
108	35.0185	46.7438	16.1	4	0
109	14.2662	36.9964	19.8	4	0
110	16.1352	40.8004	21.4	4	0
111	19.944	42.3349	13.4	4	0
112	23.5879	46.6618	23.9	4	0
113	20.784	74.6175	13.5	4	0
114	24.7736	73.297	26.9	4	0
115	25.4458	78.2622	49.3	4	0
116	31.953	72.666	14.5	4	0
117	31.9004	72.3629	6.3	4	0
118	31.6362	86.2288	18.9	4	0
119	34.9472	84.0732	26.4	4	0
120	27.799	94.9634	20.3	4	0
121	25.8914	97.2171	10	4	0
122	39.9073	99.3754	37.3	4	0
123	41.9876	91.7222	24.6	4	0
124	40.4406	42.777	12.5	4	0
125	36.4471	37.4413	28.4	4	0
126	40.8724	35.1618	61.7	4	0
127	41.6077	6.5969	8.5	4	0
128	41.4364	6.4273	13.2	4	0
129	50.6875	14.7054	33	4	0
130	50.6855	82.1701	13.1	4	0
131	51.5578	77.3851	12.1	4	0
132	53.5807	43.3853	57.3	4	0
133	57.2716	18.5915	23.6	4	0
134	56.9563	18.0732	50.6	4	0
135	62.6835	35.8669	26.1	4	0
136	77.1957	61.7612	15.5	4	0
137	66.7542	83.9588	28.3	4	0
138	58.0415	97.1435	43.4	4	0
139	86.953	99.7776	11.8	4	0
140	87.3192	99.8268	14.1	4	0
141	87.998	98.6235	8.8	4	0
142	86.788	98.4888	22	4	0
143	87.3537	98.0538	9.5	4	0
144	91.0567	99.723	32	4	0
145	97.6108	95.8343	31.4	4	0
146	99.3107	68.9221	27	4	0
147	85.2706	53.0874	9.1	4	0
148	84.8267	35.3409	25.6	4	0
149	97.2692	33.0853	17.8	4	0
150	90.1891	12.3029	10.4	4	0
151	91.9248	6.3579	15.5	4	0
152	96.238	8.7281	14.5	4	0
153	96.891	7.8179	11.9	4	0
154	1.5979	11.2295	46	4	0
155	3.5191	29.5977	14.3	5	0
156	15.6905	59.0126	28.2	5	0
157	16.2867	96.2024	9.7	5	0
158	10.7595	94.479	19.3	5	0
159	8.3001	17.5999	10	5	0
160	24.6331	59.7407	14.5	5	0
161	24.7649	95.0224	32	5	0
162	67.1905	6.6766	20.7	5	0
163	64.8269	12.1749	30	5	0
164	63.5459	23.17	28.7	5	0
165	62.304	20.9975	29	5	0
166	70.0157	52.4494	43	5	0
167	63.5122	53.781	29	5	0
168	71.387	63.9117	24.1	5	0
169	77.1231	70.0357	18.1	5	0
170	76.3228	78.3401	26	5	0
171	71.5003	76.826	16	5	0
172	67.4744	79.0662	22.5	5	0
173	74.7414	3.1976	23	5	0
174	72.2255	2.8417	28.5	5	0
175	73.5029	15.8391	8	5	0
176	70.924	23.5638	24.9	5	0
177	79.7009	58.324	10.4	5	0
178	82.5793	53.3696	8	5	0
179	82.5666	93.8788	29	5	0
180	93.1766	92.9468	14.5	5	0
