Tree	x	y	dbh	species	height
1	29.5715	27.6895	5	22	0
2	29.011	30.3406	32	18	0
3	27.2586	34.7742	12	18	0
4	1.8888	1.9982	6.3	16	0
5	2.2797	1.8192	10.3	16	0
6	2.092	1.7964	5.5	15	0
7	6.053	2.3761	30.9	8	0
8	7.4045	4.046	15.2	17	0
9	25.95	37.0295	22	11	0
10	27.4003	36.3139	8	18	0
11	25.3039	35.5413	6.8	16	0
12	25.4044	35.5123	6.8	16	0
13	25.3703	37.7309	8	19	0
14	9.9459	7.1475	9.3	16	0
15	8.9574	8.4698	8.9	2	0
16	7.756	7.9728	40.1	8	0
17	7.9407	9.589	13.2	2	0
18	6.2905	9.8445	7.8	18	0
19	22.3262	42.0264	22	20	0
20	22.6755	40.7687	5	22	0
21	23.4985	42.8328	15.2	1	0
22	23.7813	42.9032	24	20	0
23	24.9774	42.3659	6.2	22	0
24	3.7823	9.4083	27.3	2	0
25	1.5425	14.2329	29.8	18	0
26	0.577	16.3948	7.8	16	0
27	3.4732	20.0719	36.5	8	0
28	6.172	20.4105	6	2	0
29	26.2751	42.4257	13.7	22	0
30	27.4121	42.85	9	16	0
31	30.3311	43.0415	5	18	0
32	32.5839	41.756	30	8	0
33	33.1745	42.1265	42	8	0
34	8.5425	17.6307	11.9	18	0
35	6.5459	25.8493	10	17	0
36	6.7796	25.6579	9.5	17	0
37	7.246	26.1178	32.5	17	0
38	13.8976	24.2944	9.2	16	0
39	33.7559	45.5864	32	16	0
40	37.686	45.5318	36	8	0
41	44.3818	46.5298	6.2	18	0
42	47.3199	42.8751	33	21	0
43	12.4228	27.8247	18.3	16	0
44	12.2988	28.466	35	22	0
45	16.4111	27.1865	6.5	22	0
46	15.6552	28.0855	8.2	12	0
47	14.5435	29.945	11.6	21	0
48	16.4767	32.0453	5.5	2	0
49	42.1847	38.5418	47	8	0
50	39.9128	38.1745	8	6	0
51	37.917	39.5046	5.4	16	0
52	38.0376	40.0576	5	8	0
53	14.3095	33.3211	27.9	22	0
54	15.2029	34.0717	12.5	12	0
55	14.8029	34.0884	11.4	21	0
56	13.6922	33.6125	7.6	18	0
57	12.3239	34.6113	29.6	7	0
58	12.266	33.8952	8.6	16	0
59	36.6347	35.6743	14	22	0
60	10.7969	35.5858	16.7	2	0
61	14.6208	38.2885	30	6	0
62	16.3411	37.9784	9	17	0
63	33.5765	34.386	7	22	0
64	33.5753	36.7932	5	16	0
65	18.5494	40.1471	9.6	16	0
66	28.4225	38.6395	13	18	0
67	27.0158	37.2783	5.2	16	0
68	19.8727	40.9622	11.8	21	0
69	19.1558	42.2605	7.5	20	0
70	19.2354	42.9702	47.8	13	0
71	30.8968	33.7597	12	16	0
72	34.4757	31.6321	22.6	20	0
73	18.3672	44.2236	5	16	0
74	34.4926	31.609	14.2	16	0
75	18.1943	44.7404	8	2	0
76	15.4386	46.825	40.5	19	0
77	35.8049	30.598	38.8	8	0
78	13.5217	46.6439	8.5	16	0
79	11.0643	46.093	19.7	17	0
80	40.6134	30.4181	8	18	0
81	11.2219	47.5773	17	17	0
82	6.5744	43.6642	49	6	0
83	42.3701	29.096	5.2	18	0
84	6.5681	40.022	48	9	0
85	6.321	36.7864	11.5	2	0
86	44.5007	27.8767	6.8	18	0
87	3.2744	41.2457	23.4	2	0
88	3.3651	43.7867	19	18	0
89	5.5116	46.7288	9.5	17	0
90	43.7725	29.8802	10.4	17	0
91	4.3096	47.4264	12	2	0
92	3.8532	51.0641	46	18	0
93	42.8653	27.6401	6.6	18	0
94	2.2117	30.4592	5.5	7	0
95	1.3654	27.3598	10.3	18	0
96	43.0123	25.8034	11.3	2	0
97	42.3002	24.4193	6.6	18	0
98	28.2743	27.1679	6.4	18	0
99	0.2703	23.375	18.6	2	0
100	45.6721	20.4849	9	1	0
101	2.0881	21.2385	5	22	0
102	13.387	0.7532	80	19	0
103	45.4455	24.6394	7.6	18	0
104	18.2361	1.4268	29.6	8	0
105	19.8009	3.7814	7.5	16	0
106	46.6673	25.0712	17.6	1	0
107	22.7149	3.6954	41	19	0
108	24.8924	3.9947	40	8	0
109	25.9881	6.4351	13.7	2	0
110	46.5433	26.5491	6.2	1	0
111	34.5814	0.9987	9.9	12	0
112	44.0028	31.8753	5.2	16	0
113	35.7793	1.9964	9	21	0
114	36.1856	1.2799	29.6	18	0
115	43.5564	32.4298	5	16	0
116	43.4696	32.6525	7	16	0
117	44.7114	32.2053	6	1	0
118	39.1906	1.8926	24.6	7	0
119	40.167	1.0498	12	6	0
120	40.0689	0.4289	13.8	6	0
121	45.83	33.716	5	16	0
122	40.6638	0.6325	12.8	6	0
123	40.6802	0.7579	7.5	6	0
124	46.4028	34.9487	5.8	1	0
125	45.1233	33.2218	7.2	16	0
126	44.4891	35.6676	8.9	16	0
127	41.2594	35.77	7.4	6	0
128	50.0065	34.8147	12.5	1	0
129	52.0694	34.7814	41.3	22	0
130	53.2136	33.7226	7.8	2	0
131	54.2999	31.1093	7.6	18	0
132	47.1577	1.1586	48.3	20	0
133	47.1872	0.202	6.4	18	0
134	53.9479	32.5852	7.6	2	0
135	52.9606	30.2119	5.3	16	0
136	50.3282	29.3137	5.5	16	0
137	50.5759	28.9107	11.1	17	0
138	48.5179	29.683	6.7	16	0
139	52.1277	28.4322	49.2	21	0
140	53.3367	24.4474	6.7	2	0
141	54.7497	23.6639	9.5	19	0
142	46.6074	0.7027	5	2	0
143	56.6914	25.1206	8.4	6	0
144	56.6866	24.8201	7.7	6	0
145	57.1482	24.4934	5.6	6	0
146	57.4344	24.8626	21.5	6	0
147	56.107	32.7393	52.2	6	0
148	48.4066	1.2781	5.2	2	0
149	58.3851	31.8081	10.4	2	0
150	59.8084	31.8418	18.9	2	0
151	60.6128	30.1423	5.6	2	0
152	62.5708	28.5975	31.4	8	0
153	62.7091	28.0467	7.2	2	0
154	62.6237	32.9639	5.2	2	0
155	62.5268	33.0131	9.8	2	0
156	64.788	33.5261	38.7	8	0
157	48.1387	5.3173	21.8	2	0
158	45.9393	5.6617	7.8	18	0
159	65.0618	32.7208	8.6	2	0
160	58.2311	39.6913	18	2	0
161	58.6299	40.1074	7.8	2	0
162	54.9028	40.7868	5.2	2	0
163	50.8307	39.92	10.5	2	0
164	51.9198	43.0006	7.2	2	0
165	49.6815	41.6925	10	2	0
166	49.3447	47.5887	8.2	16	0
167	43.7971	7.5089	21	8	0
168	37.07	6.4853	27	12	0
169	49.3786	47.7717	5.6	16	0
170	50.0646	48.4562	7.3	2	0
171	49.8755	49.1608	7.7	2	0
172	53.1241	48.9958	28.5	22	0
173	42.9635	7.9509	9.8	2	0
174	43.0072	9.0506	36.4	20	0
175	40.3395	8.3797	28.5	8	0
176	54.8748	47.5069	27	8	0
177	42.4728	11.7357	19.4	16	0
178	43.7672	13.2951	5.7	18	0
179	55.1213	48.4975	7.5	2	0
180	53.1477	48.218	5	2	0
181	42.7592	9.3516	9.4	16	0
182	41.2071	12.3442	8.5	19	0
183	42.3292	12.8788	10.2	16	0
184	42.3777	13.2765	61	9	0
185	41.4936	15.1718	14	19	0
186	40.5518	17.3679	11.5	20	0
187	57.4464	44.8109	12	18	0
188	39.1363	17.0027	6.5	16	0
189	58.0058	44.1668	24	18	0
190	61.9171	45.1	33.2	22	0
191	61.5313	43.0873	6.5	18	0
192	61.346	43.0791	5.8	18	0
193	61.7107	42.1501	6.7	18	0
194	61.9418	41.6354	5	2	0
195	61.8266	41.5672	5	2	0
196	65.5077	40.1692	39	22	0
197	65.1906	35.3629	5	2	0
198	36.9477	17.768	23.1	20	0
199	67.7258	32.1685	6	6	0
200	67.3725	31.9799	13.7	16	0
201	37.6201	19.782	24.5	19	0
