Tree	x	y	dbh	species	height
1	91.1239	68.3048	9.9	1	0
2	91.0233	68.093	7.8	1	0
3	96.4231	71.5728	8.6	1	0
4	96.3771	73.3524	6.2	1	0
5	86.1199	53.8205	6.5	1	0
6	88.6508	1.0541	6.3	1	0
7	81.4778	73.1218	5.5	1	0
8	80.0404	60.4681	7	1	0
9	78.5158	56.1929	5.7	1	0
10	80.2593	37.9654	14.1	1	0
11	80.4262	25.2791	8.1	1	0
12	80.2576	25.2046	7	1	0
13	65.0623	73.4963	5.8	1	0
14	65.1156	79.962	6.9	1	0
15	62.9186	41.905	5.8	1	0
16	50.8176	75.9671	8.5	1	0
17	51.4344	75.2934	7.6	1	0
18	90.4529	78.3539	5.6	1	0
19	80.4241	80.802	6.4	1	0
20	78.977	75.7203	5.1	1	0
21	78.9784	79.8715	5.7	1	0
22	72.4942	84.3862	5.4	1	0
23	43.2521	89.91	6.5	1	0
24	72.7108	77.7265	6.8	1	0
25	96.8728	93.4364	15.7	2	0
26	92.0166	95.1175	9	2	0
27	96.7709	44.6108	5.8	2	0
28	89.7748	5.7859	6.1	2	0
29	85.5575	1.2462	11.7	2	0
30	76.3005	85.3795	9.5	2	0
31	67.3438	74.2405	7.5	2	0
32	75.5565	73.5319	6.3	2	0
33	78.378	70.7997	6.25	2	0
34	80.78	62.0378	7.1	2	0
35	72.8248	1.9269	6.4	2	0
36	66.9912	0.7345	12.3	2	0
37	69.0943	6.7982	10.8	2	0
38	70.3107	7.1843	15.5	2	0
39	68.9065	8.1869	11.5	2	0
40	71.7281	29.4696	5.8	2	0
41	72.1051	31.0448	15.6	2	0
42	72.7635	30.8273	11.9	2	0
43	64.9142	39.5468	6.3	2	0
44	70.2025	62.8798	7	2	0
45	73.7392	61.8355	8.7	2	0
46	74.8881	68.1152	6.1	2	0
47	74.4492	68.3399	6.4	2	0
48	62.2593	71.9291	11.5	2	0
49	54.7874	47.9307	5.7	2	0
50	67.319	30.0013	10	2	0
51	64.6843	10.1041	8.4	2	0
52	65.4079	5.8542	9.6	2	0
53	59.066	21.4316	6.8	2	0
54	54.7212	25.5232	6.7	2	0
55	45.9805	57.7651	5.65	2	0
56	92.7224	70.8323	5.2	2	0
57	40.2762	70.647	30	2	0
58	44.7557	63.4801	5.7	2	0
59	43.0928	58.2254	5.6	2	0
60	37.7112	46.329	11.1	2	0
61	40.2604	46.3116	7.9	2	0
62	40.1219	46.6162	6.6	2	0
63	44.9775	41.3043	7.7	2	0
64	48.7503	39.5996	6.6	2	0
65	55.3232	11.825	6.1	2	0
66	37.388	39.0043	33.8	2	0
67	36.1602	41.9202	6.9	2	0
68	35.5092	43.7925	9.1	2	0
69	36.9908	61.1436	5.4	2	0
70	25.3155	60.2982	20.7	2	0
71	29.8158	62.2961	8.7	2	0
72	29.5525	57.5596	11.4	2	0
73	24.96	52.38	11.8	2	0
74	23.0194	51.8163	13.2	2	0
75	22.5369	51.2248	10.5	2	0
76	28.0453	40.762	5.1	2	0
77	37.2936	3.206	7.7	2	0
78	26.712	12.271	6.8	2	0
79	28.4737	6.4263	6.3	2	0
80	22.3481	11.0194	14.3	2	0
81	22.7283	45.4746	6.9	2	0
82	12.8928	61.6132	8.3	2	0
83	18.9823	39.4877	12.2	2	0
84	20.3393	37.4538	9	2	0
85	15.8064	34.0523	5.7	2	0
86	22.4622	21.9634	22.2	2	0
87	21.8288	20.006	14.4	2	0
88	13.9743	14.0677	15.6	2	0
89	5.7377	41.6938	22.3	2	0
90	37.1967	60.7396	5.6	2	0
91	1.6477	29.0006	6.5	2	0
92	9.6502	22.6527	14.95	2	0
93	36.3131	57.4133	5	2	0
94	80.8415	99.1348	29.7	2	0
95	62.9306	96.7483	16.8	2	0
96	61.3624	94.1262	5.3	2	0
97	58.5223	85.0166	5.5	2	0
98	55.4771	83.7591	6.6	2	0
99	48.4812	81.9427	5	2	0
100	44.4556	93.7957	5	2	0
101	35.85202979	82.2676205	7.9	2	0
102	25.1325	83.0992	14.4	2	0
103	23.2429	83.7152	7.7	2	0
104	9.0437	83.7886	12.7	2	0
105	6.5247	86.7891	7.5	2	0
106	30.6024	89.0604	13.9	2	0
107	38.2555	89.4149	6.4	2	0
108	52.6195	36.8144	22.1	2	0
109	10.1567	66.4191	6.6	2	0
110	41.4737	98.928	9.4	2	0
111	22.7105	98.3341	16.3	2	0
112	1.1543	77.5189	13.2	2	0
113	1.8726	58.3153	5.8	2	0
114	95.038	91.5567	9.2	2	0
115	71.5001	29.7956	5	2	0
116	66.9088	74.6807	6.2	2	0
117	47.07198513	60.32186753	9.1	2	0
118	34.36033406	88.75901717	10	2	0
119	37.66290151	94.61100677	10.1	2	0
120	93.8456	86.5004	20.5	3	0
121	84.5209	49.3913	15.9	3	0
122	87.5933	24.5126	12.8	3	0
123	87.4348	33.7399	39.3	3	0
124	77.8602	46.8844	9.7	3	0
125	20.5055	73.4133	10.2	3	0
126	93.11346314	31.51871936	29.8	3	0
127	98.4851	6.2422	18.3	4	0
128	94.8831	31.1895	46	4	0
129	82.2038	2.5014	23.1	4	0
130	78.847	34.9649	6.4	4	0
131	76.8055	8.2088	6.8	4	0
132	72.8437	6.2827	7.5	4	0
133	66.2639	85.7376	33.6	4	0
134	48.9818	81.4462	12.4	4	0
135	45.1979	33.8722	16.15	4	0
136	36.0134	8.1028	10.3	4	0
137	20.7478	28.8419	17.3	4	0
138	21.0238	28.9668	17.2	4	0
139	13.0051	11.93	33	4	0
140	24.7578	47.5214	5.3	4	0
141	7.3236	74.2063	36	4	0
142	9.2414	54.5986	5.7	4	0
143	26.7794	98.5053	6.5	4	0
144	76.95659853	10.71192193	20	4	0
145	70.2595	52.652	12.3	5	0
146	80.4468	35.1401	6.9	5	0
147	82.1346	33.0849	8.1	5	0
148	78.9364	30.2536	8	5	0
149	79.2471	27.9345	15.3	5	0
150	74.0873	25.1732	11.7	5	0
151	67.481	43.2728	8.7	5	0
152	52.3293	59.9725	12.7	5	0
153	52.7955	57.9106	21.8	5	0
154	40.3822	55.1086	32.9	5	0
155	48.1764	8.6733	8.4	5	0
156	27.3573	48.576	20.9	5	0
157	30.3482	26.7345	19.7	5	0
158	30.2513	25.9468	15.3	5	0
159	30.6867	24.0842	14.6	5	0
160	29.5356	22.6144	19.3	5	0
161	28.7324	23.0418	14.3	5	0
162	27.9924	25.9583	22.5	5	0
163	86.4915	88.1714	5.6	5	0
164	14.3697	79.3073	39.4	5	0
165	4.8115	74.6078	36.2	5	0
166	25.2133	93.737	51.1	5	0
167	67.6325	73.1039	12.6	6	0
168	78.1435	71.3947	19	6	0
169	58.2696	46.6991	13.9	6	0
170	34.3969	75.5915	25.9	6	0
171	26.9256	26.8501	19.8	6	0
172	3.7146	0.9712	19.4	6	0
173	3.6336	0.4719	16.7	6	0
174	30.5363	82.4827	26.4	6	0
175	1.6062	55.4643	7.6	7	0
176	97.5118	21.7714	38.2	8	0
177	98.9232	34.2973	6.8	8	0
178	90.6161	11.0967	76.5	8	0
179	84.1195	24.2034	23.8	8	0
180	87.1695	34.7635	25.6	8	0
181	78.0859	51.9005	13.5	8	0
182	75.5505	50.0415	8.2	8	0
183	75.1008	52.7195	15.5	8	0
184	69.8259	49.9574	8.4	8	0
185	77.5466	46.1986	14.2	8	0
186	69.3303	36.6856	6.6	8	0
187	66.6361	57.2501	19.65	8	0
188	62.4305	63.311	26	8	0
189	50.1466	49.1503	23	8	0
190	57.2604	65.4518	43.3	8	0
191	40.6102956	84.14572781	34.3	8	0
192	47.4919	31.4907	5.3	8	0
193	41.8699	29.3637	39.5	8	0
194	39.6661	27.6198	34.6	8	0
195	25.7986	27.4813	13.2	8	0
196	14.4206	31.8699	53	8	0
197	1.7252	40.8969	26.2	8	0
198	6.4137	35.7691	16.2	8	0
199	83.9411	99.8585	45.8	8	0
200	49.0642	87.037	25.8	8	0
201	37.8848	87.2975	50.5	8	0
202	1.1823	0.3333	52.3	8	0
203	0.3896	69.1045	53.6	8	0
204	95.6664	35.7581	25	9	0
205	99.3707	42.1971	25.8	9	0
206	97.6526	41.9001	25.9	9	0
207	92.3192	63.7664	35.6	9	0
208	91.9891	66.5371	21.6	9	0
209	72.7457	81.9129	30	9	0
210	90.8564	77.8319	44.4	9	0
211	85.2411	68.1003	33.2	9	0
212	84.9416	57.9845	36.5	9	0
213	87.9747	53.5918	24.25	9	0
214	89.2664	47.1066	30.7	9	0
215	90.8087	46.3722	26.2	9	0
216	93.9734	40.5292	36.3	9	0
217	85.749	2.0238	40.8	9	0
218	85.8133	18.0192	25	9	0
219	89.2249	41.9582	28.4	9	0
220	86.0817	44.6287	23.2	9	0
221	81.2508	59.8296	20.9	9	0
222	78.1928	90.7231	22.1	9	0
223	79.2403	87.755	32.3	9	0
224	79.8283	83.7275	32.8	9	0
225	74.7542	84.8429	19.3	9	0
226	72.7417	88.506	32.8	9	0
227	71.1726	71.8716	40.6	9	0
228	75.9098	75.7254	19.7	9	0
229	80.1064	61.1537	28.9	9	0
230	77.9197	58.0168	24.3	9	0
231	75.8987	41.1723	30	9	0
232	75.0558	38.7718	29.5	9	0
233	69.4951	1.3131	24.1	9	0
234	69.397	18.6437	33.3	9	0
235	67.0268	23.5277	29.6	9	0
236	63.7302	21.2659	25.5	9	0
237	62.7112	80.635	27.6	9	0
238	64.0423	85.3032	18.4	9	0
239	55.6209	76.8594	22.5	9	0
240	57.8601	70.779	31.15	9	0
241	63.0315	71.3762	35.2	9	0
242	61.5322	59.9753	37.4	9	0
243	58.6196	51.8368	37.3	9	0
244	56.294	49.8641	26.2	9	0
245	60.8488	41.5767	42.2	9	0
246	61.9974	30.2357	32.2	9	0
247	65.681	28.8114	22.3	9	0
248	58.4552	28.3814	26.1	9	0
249	58.8963	8.8305	45.1	9	0
250	58.7968	19.7399	24.5	9	0
251	57.6684	21.1742	22.3	9	0
252	54.4725	24.602	29.7	9	0
253	57.6204	30.8282	26.7	9	0
254	57.7385	34.1508	21.4	9	0
255	49.6362	66.1907	33.5	9	0
256	43.7846	65.3018	33	9	0
257	44.8278	61.0191	28.2	9	0
258	42.5662	57.0602	32.7	9	0
259	38.2819	59.4896	24.9	9	0
260	39.301	45.8321	27.5	9	0
261	44.2624	46.116	25	9	0
262	54.4396	15.7024	22.2	9	0
263	50.166	0.9403	39.3	9	0
264	46.8962	35.0452	29.3	9	0
265	41.3506	32.5712	18	9	0
266	38.3373	41.6911	28	9	0
267	34.2945	47.1333	18.1	9	0
268	32.7837	59.5534	23.2	9	0
269	27.1368	73.8392	20.9	9	0
270	25.0021	68.8708	37.2	9	0
271	23.16	56.749	51.1	9	0
272	29.927	45.7496	30.9	9	0
273	28.3738	41.8833	26.6	9	0
274	28.185	40.4751	23.8	9	0
275	36.4849	28.5261	28.3	9	0
276	37.1728	31.3002	37.1	9	0
277	36.9111	22.6212	27.5	9	0
278	34.6413	17.0222	30.4	9	0
279	41.2182	13.7839	24	9	0
280	42.8827	15.8131	25.3	9	0
281	43.7966	9.4165	21.2	9	0
282	38.6493	8.5134	27.7	9	0
283	40.6304	4.3887	30.5	9	0
284	40.9024	1.2254	27.2	9	0
285	35.3844	2.6032	31.5	9	0
286	28.3992	16.9631	28	9	0
287	29.0464	15.2034	30.8	9	0
288	30.7774	5.1411	30.7	9	0
289	29.119	2.8477	26.7	9	0
290	23.3112	2.8835	18.3	9	0
291	26.0764	15.2526	30.9	9	0
292	23.7315	46.2177	34.8	9	0
293	19.685	52.6746	23.1	9	0
294	18.4224	50.9015	40.1	9	0
295	19.3464	60.8187	26.4	9	0
296	15.1548	72.0939	20.3	9	0
297	12.9766	70.9996	40.9	9	0
298	11.5076	62.7527	43.1	9	0
299	22.589	22.6818	22.4	9	0
300	16.9614	13.5205	37	9	0
301	12.3418	22.8769	40.1	9	0
302	6.6804	56.6237	32.2	9	0
303	6.4173	59.2988	30.5	9	0
304	10.4649	26.226	17.3	9	0
305	11.3415	16.0584	27.2	9	0
306	71.3565	97.9028	35.3	9	0
307	51.9795	84.3253	43.3	9	0
308	45.4272	85.0443	34.8	9	0
309	37.3373	79.6037	22.2	9	0
310	23.6483	79.189	24.7	9	0
311	21.4663	81.3698	36	9	0
312	20.0672	75.8225	24.3	9	0
313	7.3781	77.4619	24.8	9	0
314	15.9366	84.1716	36.6	9	0
315	20.1337	90.0346	28	9	0
316	49.4987	41.253	26.2	9	0
317	53.0162	97.9972	35.1	9	0
318	21.4324	98.4212	26.1	9	0
319	11.8292	90.3244	32.6	9	0
320	0.8326	93.7808	32	9	0
321	1.2707	89.8894	25.3	9	0
322	0.4473	56.7789	31.9	9	0
323	0.5131	52.156	30.8	9	0
324	58.27081008	77.58991417	29.5	9	0
325	72.1051	16.6464	8.3	10	0
326	70.6569	20.9557	8.9	10	0
327	71.91573262	22.44494156	8.2	10	0
328	66.6275	21.9122	12.65	10	0
329	67.329	19.9318	10.4	10	0
330	64.2274	15.7354	9.85	10	0
331	65.3549	19.3699	8.15	10	0
332	46.0134	27.3751	14.2	11	0
333	20.0661	36.1361	15.8	11	0
334	50.3343	6.5459	28.4	11	0
335	97.3735	14.3564	8.1	12	0
336	94.0534	25.8248	16	12	0
337	95.9178	29.2523	12.7	12	0
338	95.9967	29.9839	12.8	12	0
339	97.0616	33.5113	13.2	12	0
340	96.5329	46.2121	8.2	12	0
341	96.4817	52.8255	15.3	12	0
342	92.5181	59.7836	7.1	12	0
