Tree	x	y	dbh	species	height
1	23.0096	46.8788	11.5	1	0
2	47.1192	1.3242	7.5	1	0
3	47.5157	3.4762	9.1	1	0
4	45.5694	6.4442	8.9	1	0
5	6.7944	12.2045	7.4	2	0
6	17.8754	3.2808	6.7	2	0
7	20.9663	38.9817	11.2	2	0
8	1.7408	66.8393	8.3	2	0
9	24.4228	45.5838	5.4	2	0
10	28.8558	40.0305	9.4	2	0
11	39.5511	98.598	7.5	2	0
12	20.2541	7.5421	5	3	0
13	8.8634	37.4955	20.9	3	0
14	11.3403	33.4538	27	3	0
15	13.6099	29.316	13.6	3	0
16	17.2293	21.2971	6.1	3	0
17	33.1147	7.0436	17.1	3	0
18	32.7698	21.9916	5.6	3	0
19	19.641	35.5135	21.2	3	0
20	16.3687	48.0156	26.1	3	0
21	2.6945	46.7206	5.7	3	0
22	1.5424	55.9134	7.3	3	0
23	4.2621	58.9515	5.8	3	0
24	3.0418	64.177	5.8	3	0
25	34.8128	39.8259	6.9	3	0
26	32.014	36.4783	7.8	3	0
27	31.2452	36.2539	13.2	3	0
28	36.2918	33.977	8.4	3	0
29	37.6886	33.2633	6.8	3	0
30	35.982	31.2653	8.6	3	0
31	37.4874	26.3754	10	3	0
32	46.2721	10.8036	22.4	3	0
33	43.8773	18.3604	19.8	3	0
34	48.4144	23.7036	9.7	3	0
35	28.5835	53.3899	28.1	3	0
36	26.0346	58.5928	30.1	3	0
37	28.9633	59.923	23.1	3	0
38	18.7694	75.0323	22.9	3	0
39	19.5016	76.6323	17.9	3	0
40	2.254	80.7444	14.9	3	0
41	56.1732	17.7038	6.4	3	0
42	55.7715	18.1106	5.7	3	0
43	57.007	20.6106	6.3	3	0
44	97.2726	26.0775	6.3	3	0
45	91.3404	28.2241	10.1	3	0
46	83.1886	26.3446	5.9	3	0
47	81.9092	24.6946	7.4	3	0
48	72.4117	21.612	5	3	0
49	64.7845	30.2598	5.1	3	0
50	52.6714	41.0643	31.1	3	0
51	46.8306	49.2784	6.5	3	0
52	38.0728	58.8143	36.5	3	0
53	30.8332	61.0282	15.8	3	0
54	30.2484	69.7942	9	3	0
55	25.0607	78.7906	14	3	0
56	24.8234	80.4497	5.8	3	0
57	23.6574	92.1253	5.1	3	0
58	22.3908	90.3547	8.3	3	0
59	25.2689	87.241	27.8	3	0
60	27.9806	89.7906	6.5	3	0
61	31.0098	90.3868	5.3	3	0
62	35.3185	97.6235	12.1	3	0
63	37.8516	95.3995	10.4	3	0
64	41.0145	92.0491	8.8	3	0
65	40.0956	90.4458	6.1	3	0
66	34.5351	88.6477	17.6	3	0
67	35.0522	87.8917	6.3	3	0
68	37.8898	67.4571	9	3	0
69	42.3774	75.6298	5.2	3	0
70	41.8987	70.5744	7.6	3	0
71	44.5011	60.8321	5.8	3	0
72	57.5017	54.7637	23.1	3	0
73	49.42	88.3845	14.1	3	0
74	50.9407	87.6757	8.1	3	0
75	44.694	89.7842	9.1	3	0
76	43.8709	88.7033	12.2	3	0
77	43.2686	90.8828	5	3	0
78	43.6595	92.5885	5	3	0
79	44.5108	94.4758	11.2	3	0
80	52.5636	97.6895	5.4	3	0
81	49.5364	91.9651	11.8	3	0
82	52.7234	88.5911	5	3	0
83	56.7233	83.6229	21.3	3	0
84	61.1742	83.5814	10.6	3	0
85	64.2363	95.1446	14	3	0
86	70.9899	48.5797	6.7	3	0
87	99.3897	53.2704	6.3	3	0
88	87.849	83.4195	43.4	3	0
89	87.5989	93.93	5.2	3	0
90	84.3089	96.1516	5.2	3	0
91	76.0311	92.9554	6.2	3	0
92	50.5118	34.7433	11.8	4	0
93	23.2982	71.0048	14.7	4	0
94	54.0728	9.6995	8.5	4	0
95	6.497	0.9162	16.6	5	0
96	22.2456	8.9551	7.2	5	0
97	20.6439	12.1796	6.4	5	0
98	13.0504	17.2472	13.3	5	0
99	4.6344	30.5994	37.2	5	0
100	12.081	35.1516	5	5	0
101	22.5492	14.9302	8.4	5	0
102	21.9678	16.4097	8.3	5	0
103	24.2793	25.1629	7.4	5	0
104	24.2139	16.9438	7.6	5	0
105	25.1156	13.8611	7.4	5	0
106	25.24	11.0298	8.9	5	0
107	25.2184	9.778	8.5	5	0
108	34.5866	18.7415	8	5	0
109	28.4645	17.4694	7.6	5	0
110	14.4737	43.1744	29.9	5	0
111	7.3194	49.3611	5.9	5	0
112	5.5094	52.8408	16.8	5	0
113	5.7895	60.7002	18.2	5	0
114	5.3038	69.6082	33.7	5	0
115	10.3525	58.7525	6.4	5	0
116	18.6939	52.5453	8.1	5	0
117	40.7763	14.34	8.5	5	0
118	46.5104	7.1963	5.7	5	0
119	48.6094	6.5588	15	5	0
120	75.5711	14.4845	18.3	5	0
121	81.6137	13.5298	10.7	5	0
122	80.1453	16.1951	13.9	5	0
123	80.4376	16.6994	5.7	5	0
124	97.1429	6.283	7.3	5	0
125	90.1967	13.5738	14.3	5	0
126	99.2196	23.5538	13.1	5	0
127	89.3143	21.4744	7.5	5	0
128	81.6862	27.7449	13.9	5	0
129	31.0143	63.6771	33.5	5	0
130	9.6894	92.597	11.7	5	0
131	9.6786	92.6073	8.2	5	0
132	22.2494	90.1766	11.2	5	0
133	21.7093	88.2292	16.1	5	0
134	33.7169	68.3556	41.7	5	0
135	37.0787	77.1791	5.9	5	0
136	51.5652	62.2541	13.2	5	0
137	55.7856	67.1598	7.1	5	0
138	55.892	67.1687	9.8	5	0
139	56.0871	67.172	10	5	0
140	56.0987	67.5999	7.9	5	0
141	55.9593	67.6626	8.1	5	0
142	48.3732	84.7182	28.3	5	0
143	51.4985	88.1515	20	5	0
144	59.8835	84.7089	35.2	5	0
145	66.6187	96.3494	7.1	5	0
146	66.5478	96.0819	6.9	5	0
147	66.4284	96.0268	11	5	0
148	64.8537	86.5593	9	5	0
149	75.554	45.8409	18.1	5	0
150	75.901	45.8625	14.9	5	0
151	72.3369	43.0635	26.2	5	0
152	73.4639	35.3131	10.4	5	0
153	74.8755	31.1754	20.3	5	0
154	74.5855	30.8728	28.5	5	0
155	74.3393	31.2268	42.4	5	0
156	89.405	51.7675	16	5	0
157	89.079	51.7666	16.1	5	0
158	89.2308	52.1948	20.5	5	0
159	91.0348	53.6112	9.1	5	0
160	80.8678	51.3458	9.4	5	0
161	80.6743	51.3896	10.3	5	0
162	80.735	51.5428	7.1	5	0
163	80.5037	51.8695	11.9	5	0
164	74.1689	57.9997	31.3	5	0
165	74.0668	58.4858	24.8	5	0
166	96.2732	64.4177	35.8	5	0
167	78.0999	87.6177	17.6	5	0
168	77.9526	87.6805	15.5	5	0
169	78.1495	88.5549	19.2	5	0
170	21.8851	9.5407	15	6	0
171	20.9845	12.015	13.2	6	0
172	27.8911	19.9708	13.5	6	0
173	15.3687	38.1543	33	6	0
174	10.8576	57.9071	26.4	6	0
175	38.3267	18.9996	20.2	6	0
176	38.8733	18.035	27	6	0
177	61.7093	7.209	17.5	6	0
178	92.2332	9.7605	15.4	6	0
179	92.4561	20.8349	14.6	6	0
180	61.5819	35.5482	14.9	6	0
181	38.5451	87.6452	7.3	6	0
182	38.7156	78.7985	11	6	0
183	61.5384	99.7892	20.8	6	0
184	65.6233	90.7507	18.5	6	0
185	63.6047	52.2473	6.4	6	0
186	64.2257	50.1955	6	6	0
187	71.1244	40.2108	12.3	6	0
188	89.3901	57.9783	13.3	6	0
189	98.8173	63.7041	11.1	6	0
190	97.8565	61.0369	5.1	6	0
191	97.9568	60.8958	15.9	6	0
192	96.9704	69.5408	14	6	0
193	99.9458	78.0682	27.9	6	0
