Number	x	y	species	dbh	height	CL
91604	303.574	232.732	1	10.3	12.6 	3.0 
91615	307.77	228.821	1	7.2	11.0 	7.8 
91618	311.099	231.077	1	8	10.0 	7.0 
91621	313.199	229.099	1	7.7	8.5 	5.0 
91623	314.941	228.729	1	7.9	8.5 	6.0 
91626	319.913	226.774	1	14.5	11.3 	2.8 
91638	313.49	232.576	1	13.9	12.3 	9.0 
91638.2	313.49	232.576	1	11.2	9.4 	5.5 
91638.3	313.49	232.576	1	7.7	7.8 	4.9 
91652	301.195	238.641	1	17.9	15.2 	7.6 
91653	300.482	237.57	1	8.6	13.4 	11.8 
91657	357.063	222.342	1	14.7	13.3 	11.5 
91667	353.813	226.385	1	13.5	10.0 	1.7 
91667.2	353.813	226.385	1	3.9	6.0 	4.3 
91668	352.386	229.668	1	4.2	3.2 	2.0 
91672	359.415	231.357	1	28.5	10.0 	3.0 
91678	355.057	234.449	1	14.3	12.0 	9.0 
91679	353.288	234.318	1	17	12.0 	7.8 
91680	351.814	233.063	1	11	11.5 	5.5 
91681	350.517	233.007	1	7.8	8.9 	6.5 
91682	349.055	229.997	1	14.5	11.6 	8.4 
91683	348.259	231.063	1	6.1	10.2 	8.0 
91684	347.617	229.601	1	9.6	10.0 	3.5 
91693	346.021	233.137	1	17.4	12.3 	9.4 
91695	344.758	233.441	1	16	12.4 	8.2 
91696	347.622	234.832	1	6.1	7.8 	5.0 
91699	350.831	235.987	1	10.9	11.3 	6.2 
91701	354.448	237.833	1	4.8	6.8 	2.0 
91703	359.23	237.579	1	6	11.0 	4.0 
91705	359.472	238.377	1	10.7	12.8 	7.6 
91710	349.741	236.934	1	12.3	12.6 	10.0 
91724	219.914	249.414	1	7.7	13.6 	9.9 
91728	227.524	241.604	1	8.4	12.4 	10.6 
91728.2	227.524	241.604	1	6.9	7.4 	4.8 
91732	229.868	243.408	1	5.8	11.5 	10.1 
91738	220.973	253.423	1	9	11.9 	7.6 
91741	223.298	252.619	1	8.5	11.4 	7.8 
91742	225.012	250.625	1	9	8.4 	5.2 
91742.2	225.012	250.625	1	6.3	7.1 	4.7 
91742.3	225.012	250.625	1	7.8	7.8 	5.0 
91745	232.187	244.909	1	8.5	9.8 	8.7 
91749	235.771	241.554	1	5.4	6.6 	3.9 
91755	229.471	250.952	1	8.5	9.3 	7.6 
91759	224.232	255.184	1	5.1	8.2 	7.8 
91763	218.17	259.935	1	8.5	9.5 	7.1 
91763.2	218.17	259.935	1	6.9	7.4 	4.8 
91763.3	218.17	259.935	1	4.1	6.1 	4.3 
91764	219.59	260.242	1	4	7.8 	2.4 
91767	223.24	259.174	1	4.8	7.8 	4.1 
91767.2	223.24	259.174	1	4.5	6.3 	4.4 
91767.3	223.24	259.174	1	2.6	5.4 	4.1 
91768	225.432	257.445	1	4.9	7.4 	4.5 
91768.2	225.432	257.445	1	3.2	5.7 	4.2 
91769	226.093	256.284	1	9.5	9.6 	8.2 
91779	237.607	248.675	1	3.3	4.3 	1.8 
91782	234.634	251.804	1	4.3	7.8 	6.1 
91786	230.666	254.961	1	4.4	7.8 	4.9 
