Number	x	y	dbh    species	ht
1	14.9389	46.0172	25.1 	1	0
2	7.2461	3.5063	7.2 	2	0
3	14.3541	2.1795	6.4 	2	0
4	7.1367	10.3305	5.7 	2	0
5	4.173	11.5513	5.2 	2	0
6	26.4708	24.4739	6.7 	2	0
7	35.1147	9.7427	5.4 	2	0
8	34.525	3.1543	5.9 	2	0
9	37.657	4.4657	5.2 	2	0
10	40.9452	2.3316	5.2 	2	0
11	31.5973	24.6085	6.4 	2	0
12	32.3555	28.6411	6.8 	2	0
13	67.675	18.1377	5.3 	2	0
14	67.5837	18.2318	5.0 	2	0
15	55.8006	23.2475	5.5 	2	0
16	44.8999	36.1427	5.6 	2	0
17	44.845	36.2477	6.0 	2	0
18	44.7824	36.3731	5.8 	2	0
19	33.5251	34.303	5.7 	2	0
20	28.0264	31.6506	5.2 	2	0
21	28.9101	30.3496	5.0 	2	0
22	21.1547	37.8476	5.5 	2	0
23	43.8114	45.8345	7.0 	2	0
24	43.7608	45.8498	7.0 	2	0
25	43.9435	45.8838	6.3 	2	0
26	43.9558	46.0628	5.9 	2	0
27	41.9917	47.4227	6.0 	2	0
28	44.5315	59.4629	5.9 	2	0
29	46.6168	61.4165	6.3 	2	0
30	34.5045	64.4188	5.1 	2	0
31	40.8057	64.1842	5.2 	2	0
32	67.4081	60.9692	5.5 	2	0
33	66.8998	59.6459	5.1 	2	0
34	61.8326	59.6752	8.7 	2	0
35	60.9054	53.1008	5.7 	2	0
36	55.4187	34.6798	9.5 	3	0
37	45.595	3.8068	5.0 	4	0
38	30.9092	0.383	8.3 	4	0
39	44.2047	1.8954	5.8 	4	0
40	49.8828	7.2441	16.3 	4	0
41	50.1611	7.2887	11.8 	4	0
42	41.8728	18.0199	13.7 	4	0
43	52.7135	38.5039	7.9 	4	0
44	52.8848	42.2642	8.4 	4	0
45	48.2546	61.5993	5.2 	4	0
46	59.9053	46.5575	31.3 	4	0
47	65.5804	54.9116	6.6 	4	0
48	14.2	53.6762	10.5 	4	0
49	14.4666	53.3688	11.7 	4	0
50	20.9253	53.3893	8.2 	4	0
51	30.5003	50.9646	23.4 	4	0
52	49.2995	65.3286	8.8 	4	0
53	53.8942	57.8278	14.9 	4	0
54	56.0072	61.0365	7.8 	4	0
55	63.7189	68.1742	9.7 	4	0
56	64.0548	68.018	23.1 	4	0
57	60.0981	53.3349	16.8 	4	0
58	47.7126	27.431	10.0 	5	0
59	55.6535	43.677	22.4 	6	0
60	38.2863	60.7026	15.1 	6	0
61	39.1264	60.4168	8.5 	6	0
62	39.7085	67.0789	9.4 	6	0
63	56.888	69.3091	12.2 	6	0
64	54.6315	5.6505	8.9 	7	0
65	26.472	42.6573	7.3 	8	0
66	3.1576	22.0862	9.0 	9	0
67	13.9102	35.8913	7.1 	9	0
68	11.6746	15.021	8.9 	9	0
69	35.0777	20.872	5.9 	9	0
70	44.8082	5.4229	6.9 	9	0
71	41.586	0.623	5.5 	9	0
72	54.0524	2.2275	5.8 	9	0
73	46.6509	12.9993	7.3 	9	0
74	51.2306	21.2117	8.8 	9	0
75	50.2528	31.8934	11.2 	9	0
76	22.989	37.5088	8.5 	9	0
77	50.5113	48.7489	12.2 	9	0
78	43.2643	56.6318	14.6 	9	0
79	49.8023	58.0968	24.7 	9	0
80	57.5177	38.7108	10.8 	9	0
81	58.9003	26.3005	7.3 	9	0
82	4.6691	59.9678	6.3 	9	0
83	8.5313	69.2312	6.5 	9	0
84	7.7608	64.6803	11.6 	9	0
85	12.8038	57.4921	5.1 	9	0
86	15.5015	58.3611	5.3 	9	0
87	23.8815	51.249	8.5 	9	0
88	34.8861	57.9486	20.2 	9	0
89	36.8453	63.2205	8.6 	9	0
90	40.2041	67.4055	5.1 	9	0
91	53.242	64.9242	11.0 	9	0
92	52.4891	65.2985	6.5 	9	0
93	2.5238	15.7289	36.1 	10	0
94	57.9633	37.281	14.3 	10	0
95	19.1598	47.4197	33.0 	10	0
96	9.5183	27.7939	5.1 	11	0
97	10.3319	35.2738	5.6 	11	0
98	67.3014	5.8336	6.7 	11	0
99	21.4995	34.1961	5.8 	11	0
100	23.0453	36.2782	5.9 	11	0
101	25.6579	42.3897	16.4 	11	0
102	27.2068	43.0845	10.3 	11	0
103	24.8448	43.9368	8.0 	11	0
104	33.6176	43.3054	5.1 	11	0
105	32.5349	46.6989	6.4 	11	0
106	47.5036	62.28	6.6 	11	0
107	47.196	57.5502	5.6 	11	0
108	47.1843	57.3485	8.6 	11	0
109	64.8599	27.0651	6.7 	11	0
110	69.956	45.5442	6.4 	11	0
111	8.0001	42.8495	11.8 	11	0
112	8.3557	46.1208	7.6 	11	0
113	8.5802	46.2772	7.2 	11	0
114	8.4995	46.2468	5.7 	11	0
115	0.1737	63.5793	5.9 	11	0
116	4.3571	69.4033	6.2 	11	0
117	4.1181	69.3187	5.9 	11	0
118	12.3126	46.5899	5.7 	11	0
119	16.564	51.4896	5.7 	11	0
120	31.2022	60.5403	8.0 	11	0
121	30.8548	66.8255	5.2 	11	0
122	31.1378	65.9434	6.1 	11	0
123	35.3113	68.6954	5.1 	11	0
124	35.3469	68.7771	5.4 	11	0
125	68.2648	62.5261	6.0 	11	0
126	59.5049	58.0201	7.2 	11	0
127	58.7136	56.3968	8.6 	11	0
128	58.7352	56.5755	7.5 	11	0
129	28.0615	11.3469	13.2 	12	0
130	55.7369	6.2387	24.9 	12	0
131	65.6568	21.1758	17.6 	12	0
132	50.4956	22.2391	21.9 	12	0
133	15.3441	41.3467	9.3 	12	0
134	13.1308	52.2728	5.9 	12	0
135	3.3641	24.888	7.6 	14	0
136	3.762	27.8752	14.2 	14	0
137	6.0409	26.5005	10.9 	14	0
138	8.096	21.4569	12.6 	14	0
139	12.0018	26.0261	9.6 	14	0
140	8.238	26.8315	16.3 	14	0
141	6.8668	30.7754	17.8 	14	0
142	9.7457	31.7299	8.5 	14	0
143	10.1508	35.1763	11.5 	14	0
144	14.0686	33.2576	8.4 	14	0
145	12.4514	28.8692	18.3 	14	0
146	15.4322	31.2099	28.0 	14	0
147	15.051	20.8699	8.4 	14	0
148	17.7184	14.8574	7.3 	14	0
149	17.9362	14.9972	16.3 	14	0
150	26.6322	21.8686	15.6 	14	0
151	39.146	5.2538	6.8 	14	0
152	54.748	22.8668	5.7 	14	0
153	27.1312	33.8439	13.4 	14	0
154	27.9706	36.0762	29.0 	14	0
155	19.6116	26.2368	10.7 	14	0
156	17.734	26.65	10.3 	14	0
157	27.7358	37.9467	11.8 	14	0
158	27.7637	40.9012	6.6 	14	0
159	28.4925	43.6138	7.9 	14	0
160	24.5455	44.6636	6.9 	14	0
161	39.4561	40.642	6.5 	14	0
162	39.8805	54.0704	11.5 	14	0
163	40.7063	56.4073	33.2 	14	0
164	41.6054	58.164	10.0 	14	0
165	15.3431	63.8719	12.4 	14	0
166	22.3071	56.807	16.3 	14	0
167	22.6224	54.1934	7.2 	14	0
168	24.5007	57.294	31.7 	14	0
169	24.4322	52.2045	6.2 	14	0
170	23.0708	50.5255	20.0 	14	0
171	28.6749	49.6514	20.6 	14	0
172	34.0121	51.9322	10.2 	14	0
173	29.6628	57.4399	17.5 	14	0
174	28.9278	53.2511	13.1 	14	0
175	28.1391	61.4262	26.1 	14	0
176	24.9247	63.422	17.5 	14	0
177	21.1618	69.7154	11.5 	14	0
178	25.9577	67.7745	29.8 	14	0
179	55.1769	66.7574	5.0 	14	0
180	63.6124	10.8623	6.9 	15	0
181	18.3487	15.5705	15.9 	16	0
182	31.7465	17.9753	15.8 	16	0
183	37.4826	10.5752	55.0 	16	0
184	68.8948	10.8115	7.4 	16	0
185	67.5394	9.4106	16.1 	16	0
186	44.7529	11.3563	16.1 	16	0
187	26.0548	27.9486	31.2 	16	0
188	21.5721	42.6273	24.9 	16	0
189	5.3946	45.2113	7.6 	17	0
190	15.7053	46.4618	5.0 	17	0
191	12.9453	14.8051	11.1 	18	0
192	31.4056	25.9045	26.5 	18	0
193	38.0712	35.5743	11.6 	18	0
194	20.6295	40.9764	11.8 	18	0
195	49.4579	51.7753	16.0 	18	0
196	55.6427	32.667	15.8 	18	0
197	42.7572	25.9488	5.8 	19	0
198	17.3086	3.1251	11.8 	20	0
199	48.7125	5.9415	18.6 	21	0
200	50.7822	10.06	27.5 	21	0
201	4.1941	59.0148	5.1 	22	0
202	43.3961	66.3356	20.0 	22	0
203	43.4099	66.501	13.7 	22	0
204	13.9859	24.0558	17.9 	23	0
205	9.671	10.9136	14.2 	23	0
206	24.6828	10.6305	9.0 	23	0
207	14.9965	14.5037	7.2 	23	0
208	26.3435	15.7767	11.8 	23	0
209	52.7255	10.8054	15.6 	23	0
210	11.3674	63.5632	8.3 	23	0
211	13.0655	6.4665	15.3 	24	0
212	5.6399	15.78	20.6 	24	0
213	3.6971	21.4585	30.4 	24	0
214	6.6991	24.9023	43.0 	24	0
215	8.3718	33.5108	9.1 	24	0
216	3.5092	33.2138	15.4 	24	0
217	5.7995	36.6629	29.6 	24	0
218	12.8121	39.5457	34.9 	24	0
219	15.5381	25.8925	20.5 	24	0
220	19.0267	12.3574	56.1 	24	0
221	20.4232	19.6797	24.4 	24	0
222	23.4783	23.4241	13.5 	24	0
223	28.5487	18.4285	13.6 	24	0
224	36.7369	23.3501	13.0 	24	0
225	36.7442	18.6519	38.6 	24	0
226	39.8235	2.4871	37.4 	24	0
227	43.8123	0.6084	36.6 	24	0
228	62.6963	7.6317	34.8 	24	0
229	56.9871	5.8769	8.9 	24	0
230	53.4681	6.0899	53.2 	24	0
231	48.4929	5.3037	14.3 	24	0
232	44.6413	13.4338	32.8 	24	0
233	42.0151	16.3515	29.7 	24	0
234	41.6843	28.418	38.4 	24	0
235	43.0365	24.4934	31.7 	24	0
236	47.0799	25.3017	15.1 	24	0
