Number	x	y	dbh	species	ht
1	110.5489	26.1611	5.4 	1	10.7 
2	96.0414	61.8271	5.0 	1	7.4 
3	86.9468	14.2187	5.0 	2	4.6 
4	137.5871	3.947	5.4 	2	4.2 
5	119.3677	24.619	6.6 	2	7.0 
6	101.4984	12.577	5.2 	2	5.6 
7	85.1785	7.5337	5.7 	2	3.9 
8	92.3741	17.1596	5.0 	2	5.8 
9	134.4503	33.9407	5.9 	2	6.0 
10	114.6899	38.9774	5.0 	2	6.1 
11	116.975	40.7023	5.1 	2	6.1 
12	119.466	42.9263	17.8 	2	13.9 
13	119.8651	42.6987	5.0 	2	7.0 
14	106.7228	34.5798	8.8 	2	7.6 
15	102.8559	25.3297	6.9 	2	6.8 
16	95.7626	26.2905	7.0 	2	5.5 
17	76.0249	34.9135	5.4 	2	6.4 
18	76.1053	34.9749	5.7 	2	6.7 
19	80.6017	37.4909	5.0 	2	5.7 
20	72.6687	59.4819	5.1 	2	6.3 
21	83.2825	65.8268	5.8 	2	5.5 
22	83.0889	64.3951	5.3 	2	5.7 
23	109.4377	44.0925	6.0 	2	7.8 
24	139.1297	62.0935	6.8 	2	5.9 
25	139.1472	62.0963	6.0 	2	5.7 
26	81.3931	3.871	23.8 	3	15.2 
27	78.7173	11.069	14.1 	3	9.7 
28	70.0156	63.0186	5.8 	3	6.0 
29	130.9298	26.5099	43.5 	3	14.8 
30	130.5431	26.608	29.2 	3	14.0 
31	110.6	20.4439	22.9 	3	13.2 
32	100.521	15.5584	6.0 	3	7.9 
33	90.6412	7.2806	5.0 	3	6.5 
34	95.8847	14.4805	10.4 	3	9.6 
35	124.5984	32.6788	20.6 	3	9.9 
36	134.2717	57.2238	26.5 	3	16.9 
37	117.7627	43.9966	9.6 	3	8.0 
38	109.0828	40.4845	12.8 	3	12.8 
39	107.0138	38.7896	14.8 	3	11.1 
40	101.8543	35.1613	22.2 	3	13.9 
41	100.1759	33.4134	5.5 	3	6.8 
42	77.105	27.6656	5.0 	3	4.5 
43	89.0621	29.9495	5.5 	3	6.4 
44	86.3524	39.7527	15.1 	3	8.2 
45	83.9591	44.049	26.2 	3	13.5 
46	85.1855	55.9199	16.6 	3	15.6 
47	92.8579	61.6304	22.4 	3	11.4 
48	102.4269	47.1047	6.4 	3	5.5 
49	99.0511	57.9653	29.4 	3	16.7 
50	102.6095	57.7097	6.1 	3	7.9 
51	110.3951	63.975	16.4 	3	11.5 
52	112.4353	57.1969	7.8 	3	7.8 
53	113.8561	53.6836	15.1 	3	10.9 
54	114.3671	52.9051	21.9 	3	11.4 
55	123.5645	49.5155	7.6 	3	7.1 
56	121.6798	64.9542	13.1 	3	10.5 
57	131.4774	55.5423	21.7 	3	13.1 
58	139.4886	53.1213	24.2 	3	11.2 
59	113.6603	45.253	5.1 	4	6.8 
60	74.076	41.6479	7.2 	4	5.7 
61	96.0753	0.2657	8.7 	5	10.9 
62	97.8001	52.9684	35.0 	5	17.5 
63	98.1686	52.726	22.1 	5	18.2 
64	108.3635	49.6104	5.3 	6	7.6 
65	107.7988	50.9158	5.0 	6	7.6 
66	118.7484	45.7436	6.5 	7	7.8 
67	72.5313	20.9214	12.1 	8	13.3 
68	75.9448	18.7587	12.3 	8	8.2 
69	79.8601	9.8842	5.8 	8	5.4 
70	108.8631	1.8144	10.4 	8	5.6 
71	131.4206	6.0928	16.7 	8	8.7 
72	133.658	7.5282	6.2 	8	8.2 
73	135.1524	10.9467	22.9 	8	12.4 
74	139.1176	13.3702	5.0 	8	6.7 
75	137.0063	17.4748	8.8 	8	11.6 
76	128.92	26.6005	6.6 	8	6.2 
77	111.0212	13.1102	8.3 	8	5.1 
78	115.5457	16.491	19.5 	8	12.7 
79	109.4361	19.0268	22.2 	8	14.3 
80	108.9512	18.9605	18.2 	8	14.0 
81	87.1896	21.8231	5.9 	8	6.8 
82	94.0937	19.3424	7.7 	8	8.1 
83	98.2774	20.5457	5.5 	8	7.2 
84	139.4314	32.5442	6.0 	8	8.6 
85	130.8456	36.5582	13.0 	8	10.6 
86	130.2194	36.3699	9.5 	8	11.9 
87	130.2756	36.0745	9.4 	8	11.4 
88	110.3834	40.6753	5.3 	8	4.1 
89	108.1803	30.634	6.6 	8	5.0 
90	109.8847	44.0616	8.8 	8	9.2 
91	73.6774	32.9843	15.7 	8	13.4 
92	80.1982	43.6789	8.8 	8	8.2 
93	80.5925	43.7675	20.5 	8	11.7 
94	80.4511	43.8292	14.8 	8	9.3 
95	76.4836	65.8123	6.9 	8	8.7 
96	122.242	49.5416	16.2 	8	10.9 
97	117.9794	55.9372	12.2 	8	8.4 
98	106.1442	17.8631	16.3 	9	16.6 
99	75.1056	9.0773	5.4 	10	6.2 
100	72.5258	24.2664	5.4 	10	7.5 
101	70.0223	45.5289	7.0 	10	10.6 
102	123.2189	1.7724	5.1 	10	5.4 
103	135.6956	25.8441	8.3 	10	6.6 
104	125.9348	20.2428	6.0 	10	7.2 
105	74.533	38.5982	6.3 	10	6.2 
106	76.348	66.1504	7.3 	10	6.4 
107	102.0867	62.3181	5.2 	10	4.9 
108	104.7949	62.6814	6.5 	10	7.2 
109	105.2994	68.2185	10.0 	10	6.6 
110	137.3085	10.755	5.4 	11	7.0 
111	130.158	21.7195	5.9 	11	7.7 
112	129.9309	22.0606	6.8 	11	7.9 
113	128.8416	30.6416	6.3 	11	8.1 
114	130.2521	26.7047	21.0 	12	14.2 
115	128.694	27.2736	20.0 	12	12.7 
116	124.4982	20.3895	16.0 	12	12.7 
117	117.9572	13.8819	22.2 	12	10.4 
118	100.0064	10.8892	16.6 	12	8.4 
119	133.3308	35.3108	23.1 	12	13.4 
120	119.3083	37.2514	16.0 	12	16.8 
121	113.4735	35.8253	20.0 	12	11.2 
122	108.8837	41.8351	4.4 	12	13.0 
123	99.129	30.0244	17.7 	12	11.4 
124	98.9349	30.2494	12.0 	12	12
125	88.0962	46.9709	32.3 	12	9.4 
126	85.3262	50.8527	31.8 	12	14.9 
127	81.2487	53.3123	21.4 	12	15.0 
128	101.8513	47.3281	28.9 	12	14.0 
129	101.5814	47.4717	21.8 	12	14.8 
130	101.2549	47.2737	35.1 	12	15.4 
131	98.8948	68.4656	9.8 	12	7.8 
132	110.8273	69.6872	17.7 	12	10.1 
