Number	x	y	dbh	species	height
26	59.7827	7.3896	12.1	1	10.6
100	23.4911	16.6055	16	1	12.7
180	37.3068 	16.5428 	5.5	1	6.2
181	37.3073 	16.4324 	9.9	1	11.1
237	41.3301	25.6617	6	1	8.1
335	35.2851	37.1837	7.8	1	8.4
339	38.3088	39.7798	10.9	1	10.9
416	20.7898	36.4177	10.2	1	9.8
472	5.919	48.8445	20.5	1	9.8
484	2.1678	45.7099	8.1	1	10.5
368	61.1245	44.8785	33.3	2	14.6
19	56.9236	1.7124	5.8	3	4.7
21	60.1047 	2.9854 	22.7	4	13.2
37	57.3247 	19.1626 	23.3	4	12.4
38	56.8653 	18.9551 	5.7	4	9.6
64	26.9276 	5.4653 	20.3	4	11.6
65	27.6602	3.3623	17	4	11.4
76	20.4706	4.2164	13.5	4	12.3
77	20.2401	4.4335	5.7	4	6.7
84	21.9132	10.2559	10.2	4	11.6
114	17.2704	5.6775	18.1	4	12.3
400	23.4337	46.5529	24.7	5	12.7
6	39.2736	5.4577	19.5	6	12.7
53	41.8412 	10.7199 	11.7	6	12.6
60	35.8248	9.5148	22.5	6	12.6
61	34.685	8.514	19.4	6	12.9
62	30.1194	8.3899	20	6	12.9
86	27.7865	14.1513	24.2	6	12.7
112	17.2985	10.2511	13.2	6	11.3
113	17.2092	10.113	12.7	6	11.2
160	19.6253 	26.8550 	10.3	6	10.7
161	19.7612 	26.8946 	16	6	10.7
198	44.7955 	18.1979 	18.3	6	10.6
292	54.4611	40.1853	19.9	6	12.4
367	60.5494	43.7825	7.8	6	8.9
382	32.5204	47.0255	7	6	9.8
387	32.0195	43.2157	12.7	6	12.7
404	28.0311	49.6727	22.7	6	12.5
405	21.9655	48.1756	6.5	6	7.8
427	17.3946	32.861	12.2	6	10.9
31	59.8123	9.9239	23.2	7	12.4
35	60.6099	13.5507	9.9	8	12.7
175	35.4217 	21.5114 	6.1	9	7.7
304	38.5881	38.0526	11.9	9	10.2
58	39.7596	7.9213	16.9	10	12.7
87	30.3241	12.6106	13.8	10	12.2
144	8.8809 	17.3916 	19.1	10	13.2
234	45.0525	27.8663	8.5	10	10.9
248	34.291	31.7481	14.3	10	12.3
129	4.2332	9.6106	17.5	11	13.2
192	42.1729 	17.4193 	18.9	11	12.1
228	54.1856	29.5356	25	11	12.3
18	57.8008	4.7578	28.8	12	14.7
91	27.8569	18.4309	13.8	12	10.7
93	26.4423	18.3973	24.8	12	14.5
