plot	Number	dbh	height	x	y	species
1	1	24.5	14.6	6.9158	37.1894	1
1	2	25	14	3.1845	29.1778	1
1	3	26.6	16.5	1.4121	30.8187	1
1	4	26.6	13.7	7.8801	53.9799	1
1	5	12	13.1	57.7929	33.9627	1
1	6	28.5	13.3	12.0117	58.9247	1
1	7	31.1	17.4	1.4951	44.5984	1
1	8	52.7	7.7	30.1147	24.7942	1
1	9	15.7	22.4	11.8309	31.346	1
1	10	45	20	21.051	34.9645	1
1	11	7.2	12.5	47.4159	16.8865	2
1	12	8.7	10	35.2463	42.0648	2
1	13	5.2	13.4	28.8844	34.1258	2
1	14	5.4	9.8	42.489	23.9375	2
1	15	6.4	10.2	50.4331	20.7558	3
1	16	7.3	10.6	15.4542	44.1406	4
1	17	5.4	9.8	14.4792	56.3878	4
1	18	13.4	15.2	20.2627	49.8064	4
1	19	8.1	15.6	0.3596	28.6489	5
1	20	6.4	8.4	39.0257	59.372	5
1	21	6.6	9.3	3.5098	2.8981	6
1	22	7.2	11.2	1.7767	16.9927	7
1	23	5.7	8	6.1254	17.4782	7
1	24	5.3	8	3.056	19.8692	7
1	25	11.4	12.4	3.4958	23.3893	7
1	26	7.6	11.2	2.5064	23.2133	7
1	27	30.9	13.5	13.3343	43.9385	7
1	28	9	12.3	32.3996	59.7738	8
1	29	11.2	12.6	32.4676	59.5876	8
1	30	11.5	10.1	47.4518	51.1582	8
1	31	6.7	12.5	44.1871	1.8717	9
1	32	8	13.2	26.758	15.8293	10
1	33	7.7	11.4	30.0294	16.9698	10
1	34	7	10.3	22.2164	17.0071	10
1	35	6	5.6	25.5894	11.797	10
1	36	9.6	11.2	27.6275	9.8857	10
1	37	32.1	14.5	13.5624	2.7077	10
1	38	12.3	11.6	28.8878	32.6145	10
1	39	13	12.3	25.53	42.2678	10
1	40	18.1	14.2	26.9004	40.321	10
1	41	7	8.6	21.4649	43.0779	10
1	42	10.1	10.9	0.4866	18.9217	10
1	43	8.1	8.6	21.127	50.4051	10
1	44	8.42	1.2	22.7206	22.3156	10
1	45	16.1	14.4	24.942	10.4584	10
1	46	25.6	17.3	31.2126	4.3246	11
1	47	12.5	13.1	41.392	28.1223	11
1	48	13	13.4	19.9817	41.6719	11
1	49	10.5	13.2	8.0114	36.6401	11
1	50	6.2	10.7	9.3331	47.5115	11
1	51	10.8	11.9	22.4824	46.8285	11
1	52	13.5	16.7	54.2096	54.9262	11
1	53	18.5	13.8	54.2382	54.8112	11
1	54	22.9	10	22.4083	8.473	12
1	55	9.7	14.1	3.3639	41.0379	13
1	56	8.8	7.8	43.7802	44.251	13
1	57	6.3	8	58.8945	48.1406	13
1	58	6.6	4.3	10.4206	57.7807	13
1	59	6.2	6	10.8387	58.1	13
1	60	14.2	11.4	23.6494	25.0096	13
1	61	11.4	9.8	19.7027	18.1604	13
1	62	5.3	8.7	44.2555	55.0284	13
1	63	9.5	9.5	42.9998	54.2304	13
1	64	6	8.1	50.0471	47.1918	13
1	65	5.8	6.7	52.9716	51.1259	13
1	66	6.7	12.4	6.33	15.4193	14
1	67	5.2	10.6	1.6776	15.7231	14
1	68	12	13.4	34.7492	49.2395	14
1	69	14.5	12.5	43.4942	17.1606	15
1	70	9.3	13.2	40.4999	23.4462	15
1	71	34.5	16.7	50.0847	4.1488	16
1	72	32.3	19.1	36.0956	2.1791	16
1	73	25.7	19.7	36.3241	1.905	16
1	74	15.4	12.6	11.6123	18.0148	17
1	75	13.6	11.9	3.5738	42.4686	17
1	76	16	10.5	32.6687	48.7503	17
1	77	18	15.4	42.9744	49.6252	17
1	78	13.4	13.7	40.7087	48.0189	17
1	79	22.2	13.1	55.1515	37.351	17
1	80	9.6	10.8	58.1875	36.3746	17
1	81	14.5	14.5	58.0062	38.4801	17
1	82	16	13.1	54.7066	41.9076	17
1	83	13.5	12.7	54.8535	42.0259	17
1	84	15.8	13.7	52.6607	50.4723	17
1	85	15.3	12.2	32.6404	58.0715	17
1	86	19.8	14.2	36.0101	58.3567	17
1	87	17.8	18.7	41.9041	59.7192	17
1	88	21.1	11.6	41.6975	59.798	17
1	89	12.9	10.9	45.4273	55.8273	17
1	90	8.8	10.3	45.3611	55.9029	17
1	91	17.1	12.1	33.7743	45.6901	17
1	92	5.8	6.2	49.6501	40.4846	17
1	93	9.2	7.2	59.5724	33.3062	17
1	94	12.7	11.6	39.5064	58.218	18
1	95	34.5	18.6	17.0429	15.5078	19
1	96	9.1	10	44.9945	32.7386	19
1	97	26.7	14.2	41.2318	38.1197	19
1	98	30.6	14	41.1454	38.1329	19
1	99	5.7	8.2	6.3148	38.4877	19
1	100	7.3	8.7	29.2614	50.2191	19
1	101	40	17.8	52.5322	43.6045	19
1	102	19.4	17	52.9369	44.4301	19
1	103	13.3	12.3	53.9265	46.816	19
1	104	9.8	10.1	3.1164	53.7256	19
1	105	5.1	11.4	12.7343	55.9621	20
1	106	7.4	9.3	42.4827	30.6391	21
1	107	6.5	8.5	57.3737	25.7552	21
1	108	19.1	8.7	59.1131	30.2544	21
1	109	7	14.6	15.8504	15.5731	22
1	110	5.4	8.6	8.3982	53.0888	23
1	111	5.8	8.2	29.6575	33.2276	24
1	112	5.4	3.2	15.7137	50.8124	25
1	113	13.6	11	19.3333	6.1521	26
1	114	6.2	9.8	44.3983	24.1606	26
1	115	8.8	10.6	21.5825	5.9782	27
1	116	6.8	10.6	3.6098	11.1343	28
1	117	5.9	10.2	23.4476	27.5738	29
1	118	5.9	15	54.5123	2.5185	30
1	119	13.4	14.3	37.1081	4.0844	30
1	120	5.7	7.5	57.3087	16.3424	30
1	121	5.9	10.4	9.7269	13.9171	30
1	122	7.1	12.4	40.4979	22.7866	31
1	123	9	11	42.1423	2.7691	32
1	124	25.5	18.1	55.9292	53.3016	32
1	125	30.8	18.5	55.9744	53.2105	32
1	126	10.5	11.3	49.681	13.0765	32
1	127	8.8	10.6	53.5283	6.0279	33
1	128	11.9	11.5	52.0071	10.2347	33
1	129	9.8	11.7	49.7612	5.3635	33
1	130	8.3	12.7	51.6009	2.9935	33
1	131	11.5	13.5	52.2391	0.8008	33
1	132	9	11.7	42.9328	1.3818	33
1	133	9.2	13.8	38.252	4.8869	33
1	134	11.8	13.3	36.2923	0.7883	33
1	135	8.7	12.3	37.3802	0.1319	33
1	136	6.2	10.5	27.9823	0.4966	33
1	137	5.7	8.7	28.0202	0.0978	33
1	138	8.4	10.6	23.2765	1.4499	33
