treeno,species,x,y,dbh
1,15,97.055,1.139,12.5
2,15,96.472,0.447,8.5
3,14,99.154,1.78,10.4
4,14,98.699,3.97,22.6
5,14,95.406,1.352,3
6,2,94.503,2.632,1.9
7,10,93.046,3.425,48.3
8,14,91.105,4.72,23.4
9,7,92.64,6.542,16.3
10,14,92.606,7.19,8
11,2,92.81,8.199,31.3
12,14,92.9,9.027,22
13,10,89.563,7.355,22.2
14,14,88.693,8.022,9.7
15,14,87.662,3.521,14.6
16,14,84.228,5.879,23.6
17,14,83.925,6.184,12.1
18,14,82.698,6.864,16.5
19,14,80.631,8.287,16.5
20,14,80.761,5.447,20.8
21,2,71.236,9.585,18.4
22,2,77.762,2.217,18.5
23,14,76.377,0.837,14.6
24,14,75.868,0.172,19
25,15,79.346,5.465,41.2
26,2,75.884,5.762,19.8
27,9,71.258,5.735,7.5
28,10,71.326,0.82,29.6
29,10,70.861,5.615,37.4
30,2,68.717,1.776,18.2
31,7,68.25,1.998,5.8
32,8,66.847,6.01,18.1
33,10,61.963,5.961,15.5
34,3,60.483,8.904,40
35,14,60.646,6.906,17.2
36,11,61.682,4.526,12.5
37,15,60.001,2.842,35
38,9,62.85,2.645,3
39,8,67.134,0.713,21.5
40,10,59.408,3.411,26.4
41,14,59.63,5.56,11
42,10,59.286,3.248,18.6
43,10,59.363,8.269,16.5
44,7,58.371,8.82,31.2
45,14,76.569,3.241,11.4
46,10,77.673,9.602,6.5
47,10,57.401,9.648,14.4
48,10,56.997,6.731,19.9
49,14,51.88,6.271,23
50,10,52.73,1.312,25
51,14,54.894,0.001,21.4
52,14,47.938,0.913,19.8
53,14,46.648,0.812,21.4
54,2,47.197,2.973,19.4
55,14,46.88,3.939,25.4
56,16,44.714,7.482,9.8
57,15,43.297,8.661,11.4
58,10,40.631,6.761,27.9
59,14,43.408,2.937,19.9
60,14,42.45,2.307,11.5
61,9,41.864,2.344,7.4
62,9,40.48,1.012,4
63,2,43.212,1.418,17.6
64,14,43.201,1.507,14.5
65,16,38.338,0.467,3
66,7,34.658,1.307,16.3
67,8,33.798,0.782,27.2
68,7,30.844,0.46,4.2
69,15,30.672,2.27,17.2
70,9,30.841,2.405,8.5
71,7,31.96,4.332,17.5
72,7,34.27,6.703,4.5
73,14,34.771,7.23,4.1
74,15,35.839,8.639,11
75,9,34.093,8.484,9.5
76,2,39.597,5.73,29.2
77,7,36.206,5.397,5.9
78,1,39.072,3.515,18.4
79,7,31.629,7.852,4.7
80,1,32.084,8.521,9.3
81,15,31.946,8.252,9
82,2,26.841,8.29,38.5
83,15,25.663,7.265,7.8
84,10,25.939,8.619,8.6
85,9,26.038,5.378,3.9
86,1,24.027,4.004,18
87,9,21.11,7.951,5.6
88,14,19.288,6.801,4.1
89,7,19.303,7.261,14
90,14,18.288,7.053,5
91,14,17.053,7.458,3
92,14,18.244,8.831,4.2
93,14,16.046,6.744,3.4
94,14,14.1,7.896,9.3
95,14,14.867,5.663,9.3
96,2,14.543,4.646,15.6
97,14,14.822,4.43,6.7
98,1,14.614,3.749,13.3
99,15,12.043,6.414,20.5
100,14,11.802,5.989,4
101,9,11.8,5.158,4
102,9,11.8,4.57,7.5
103,15,10.477,4.51,9.5
104,15,10.476,4.218,8
105,9,12.526,2.212,6.5
106,1,12.811,1.361,25.7
107,14,15.815,3.504,11.3
108,7,16.609,2.992,8.4
109,7,16.864,3.059,19.2
110,11,18.851,3.318,28.1
111,14,18.282,2.844,4.3
112,9,6.395,0.519,7
113,1,8.508,9.465,13.4
114,14,8.081,8.31,8.1
115,2,7.693,8.659,19.2
116,3,2.367,6.955,5.8
117,8,0.845,3.589,4.2
118,8,2.659,3.038,11.8
119,8,0.852,12.165,28.1
120,8,0.937,11.995,22.3
121,9,3.53,11.129,15.5
122,7,5.711,11.469,18.8
123,7,5.701,11.217,18
124,7,5.712,12.174,5.8
125,7,5.713,10.834,32.2
126,9,4.451,15.798,3.2
127,15,4.198,18.169,12.8
128,15,4.198,18.124,10.2
129,14,10.603,18.337,2
130,14,14.236,18.856,5.2
131,14,18.856,17.888,4.5
132,9,19.391,19.288,4.9
133,2,17.832,16.961,35
134,14,18.921,16.34,18.6
135,2,16.667,14.957,24
136,15,18.132,14.695,17.5
137,3,19.118,14.239,7.6
138,3,19.037,13.517,4.7
139,14,18.391,13.74,4
140,3,18.6,10.9,4.9
141,7,12.618,10.38,48.5
142,14,14.465,10.272,2
143,14,13.466,10.363,1.7
144,14,10.517,13.468,2.7
145,7,20.818,11.336,16
146,7,20.817,11.334,13.6
147,7,20.816,11.333,9.7
148,7,20.812,11.332,13.8
149,7,20.811,11.33,13
150,14,21.885,10.903,28.5
151,7,22.633,10.964,12.3
152,7,22.433,16.436,7.3
153,15,20.646,18.421,30.5
154,3,20.942,19.511,8.9
155,1,25.073,19.52,20.2
156,15,26.01,19.631,9.8
157,9,28.2,19.169,4
158,1,25.858,17.865,28
159,15,24.939,17.427,12
160,15,29.415,13.182,16.5
161,15,27.766,10.172,12
162,1,25.033,10.485,19
163,3,25.734,10.686,9.5
164,3,25.732,11.909,9.7
165,2,25.522,12.963,13.1
166,7,24.876,13.457,22.8
167,3,23.894,13.353,2.5
168,7,31.801,10.195,14.4
169,1,31.32,12.726,18.2
170,8,32.329,13.268,35.8
171,6,32.855,13.303,18.3
172,9,37.278,13.18,4
173,14,36.5,15.374,17.1
174,14,36.836,15.594,13.1
175,14,38.334,16.272,28
176,1,39.946,15.49,22.4
177,9,39.306,16.906,5
178,2,38.524,18.102,9.5
179,9,37.591,18.05,5.8
180,1,38.05,17.918,28.3
181,1,35.527,19.339,11.1
182,14,33.197,17.541,3
183,6,32.285,19.147,11.8
184,6,40.673,15.977,13.5
185,14,43.491,10.537,11
186,14,47.115,16.403,20.5
187,14,46.64,15.191,29.5
188,14,47.715,16.001,14.8
189,2,51.671,16.325,18.5
190,14,53.329,15.461,15
191,7,56.055,19.38,9.4
192,15,57.552,17.389,12.4
193,11,59.275,17.049,12.2
194,15,57.049,15.457,16.4
195,2,58.629,14.222,16.4
196,14,57.877,12.595,18.3
197,14,57.02,10.43,11.5
199,10,64.594,15.075,12.8
200,10,64.762,16.103,28.9
201,15,68.948,17.29,23.9
202,9,68.906,12.048,12.9
203,2,72.752,10.76,28.3
204,14,72.995,10.528,16.2
205,14,72.63,15.441,22.3
206,7,72.016,16.346,8
207,9,73.033,16.868,5
208,9,72.828,17.757,6
209,15,72.939,17.975,13.8
210,8,70.001,18.389,22.4
211,9,75.576,19.585,4
212,11,75.318,17.141,4.2
213,3,80.18,11.219,7.5
214,2,80.358,10.227,34.5
215,14,81.052,10.613,25.1
216,15,84.979,11.739,22
217,14,84.999,11.513,19.4
218,2,86.062,10.665,15.4
219,14,87.294,13.145,14.6
220,7,88.246,12.275,41.6
221,14,88.016,15.038,15.8
222,15,89.027,14.483,27.2
223,14,89.918,17.555,18.6
224,14,86.468,19.971,19.8
225,14,85.75,19.575,4.2
226,3,82.508,19.983,12.3
227,14,86.779,17.475,20.5
228,15,86.415,16.078,29.5
229,2,89.842,10.236,19.5
230,14,90.634,15.931,28.5
231,1,99.267,17.626,23.5
232,8,99.556,15.205,17.5
233,8,99.142,10.582,21
234,7,97.292,12.125,11
235,10,97.671,22.214,27.4
236,10,99.925,23.853,26.8
237,15,99.664,24.736,26.5
238,10,99.389,25.339,12.6
239,2,99.389,26.841,24
240,14,98.497,25.873,9.4
241,10,98.928,24.613,19
242,10,93.672,26.155,19
243,15,94.271,27.12,18.5
244,14,94.27,28.885,24.5
245,9,94.517,29.28,3.5
246,7,90.893,28.425,41.9
247,9,82.219,20.845,7.2
248,15,83.102,20.809,28
249,14,84.026,21.183,27.4
250,7,83.536,25.706,7.6
251,10,84.244,24.278,8.4
252,1,84.243,25.795,13.7
253,6,80.444,27.627,20.2
254,15,81.607,28.58,9.6
255,11,86.116,26.566,27.1
256,14,88.813,24.148,18.1
257,2,79.111,20.237,5.5
258,1,78.864,21.765,10.1
259,10,78.86,22.583,13.9
260,1,79.229,25.637,12.8
261,3,79.23,27.594,9.2
262,3,79.22,27.582,7.8
263,3,78.443,27.986,8.7
264,8,76.551,28.335,25.2
265,1,75.215,26.058,14.6
266,3,76.511,23.622,9.9
267,3,76.51,23.433,6.2
268,3,76.52,23.385,5.3
269,6,75.565,22.264,23.6
270,8,73.058,21.431,24.3
271,8,73.058,23.862,21.6
272,11,72.644,26.758,5.2
