treeno,species,x,y,dbh,ht,cw
1,12,1.662,4.224,12.3,10.5,7.2
2,13,3.353,3.554,15.7,14.5,9.3
3,13,4.546,4.437,30.3,19.2,14.6
4,13,4.821,4.824,38.9,20.9,17.3
5,9,6.157,0.94,4.8,5.8,4.4
6,9,5.824,1.148,7.7,8.1,5.7
7,9,5.812,3.389,4.6,5.6,4.8
8,2,6.858,4.462,6.1,6.1,5.9
9,12,7.997,6.59,26.6,14.9,14
10,1,12.389,7.883,24.9,16.7,15.5
11,13,10.686,1.159,25.6,18.1,13.9
12,14,15.787,1.102,4.5,4.9,6.6
13,1,17.082,1.74,23,15.9,14.4
14,4,16.57,2.618,1.6,2.3,5.8
15,4,16.562,3.127,4.1,5.8,7.4
16,1,16.978,4.726,16.2,12.6,12.6
17,1,23.396,2.29,15.5,12.2,13.3
18,1,25.519,1.499,39.1,21.6,21.9
19,2,28.814,4.625,12,10.2,13.9
20,4,27.981,3.97,2.4,3.5,9.5
21,4,27.981,4.247,2.2,3.2,9.4
22,9,26.981,8.944,10.3,9.7,14
23,9,26.905,9.241,6.2,6.9,12.3
24,2,31.455,9.203,16.4,12.7,17.4
25,2,34.542,7.869,14.7,11.8,17.2
26,1,34.306,1.443,21.2,15.1,18
27,9,36.655,1.582,9,8.9,14
28,9,36.678,2.2,14.6,11.8,16.3
29,4,38.122,5.591,2,2.9,12.2
30,1,38.651,6.509,12.4,10.4,17
31,12,41.06,9.119,11.1,9.9,17.8
32,9,41.745,9.46,7.5,7.9,16.7
33,12,40.817,5.641,24,14.4,21.2
34,9,41.848,2.86,11.1,10.1,16.5
35,2,44.609,3.282,5,5.3,14.5
36,12,44.814,4.73,20.8,13.6,21
37,2,48.057,0.782,4.5,4.9,14.6
38,2,47.932,3.987,7,6.8,16.4
39,12,48.055,4.587,5.2,5.9,15.9
40,2,50.743,8.378,7,6.8,18.2
41,2,51.296,6.223,6.7,6.6,17.7
42,12,52.415,7.044,21.7,13.8,23.7
43,2,52.248,3.985,5.8,5.9,17
44,12,53.652,2.019,20.2,13.4,22.3
45,2,55.133,3.963,9.3,8.4,19.2
46,2,55.174,2.11,6,6.1,17.3
47,2,55.449,1.4,8.4,7.8,18.3
48,2,56.644,1.004,7,6.8,17.9
49,2,56.297,2.974,9,8.2,19.1
50,2,59.111,1.023,9.6,8.6,19.6
51,2,53.249,9.562,8,7.5,19.6
52,2,54.284,8.007,2.5,3.2,17
53,2,55.052,10,6.3,6.3,19.4
54,12,60,4.358,21.8,13.8,25
55,2,60.545,2.735,4.9,5.2,18.3
56,12,61.073,3.689,9.4,8.9,20.8
57,13,62.004,3.984,34,20,30
58,12,63.679,6.173,22,13.9,26.4
59,12,64.578,5.877,21.5,13.7,26.4
60,2,62.087,8.532,11.6,9.9,23
61,2,63.611,8.859,5.2,5.4,20.8
62,2,64.094,7.475,4.7,5.1,20.3
63,9,65.546,7.231,6,6.8,21.4
64,9,65.469,6.468,4.8,5.8,20.6
65,2,66.372,3.397,9.2,8.4,21.8
66,2,67.705,5.683,7,6.8,21.8
67,9,72.246,2.727,9,8.9,23.2
68,9,72.376,2.716,9.6,9.3,23.5
69,12,71.132,3.529,22.8,14.1,27.9
70,12,71.59,5.266,30.3,15.6,30.7
71,9,70.694,5.283,5,5.9,21.7
72,9,72.286,6.956,16.6,12.6,27.1
73,9,71.742,7.587,19.4,13.6,28.1
74,9,78.166,10,12,10.6,27.7
75,2,75.394,7.463,7,6.8,24.2
76,12,74.942,6.174,27.4,15.1,30.9
77,2,75.946,5.523,5.2,5.4,23
78,9,74.689,3.973,3.1,4.1,21.5
79,9,75.987,1.122,16.1,12.4,26.4
80,9,80,3.723,8.9,8.9,25.4
81,12,80,1.746,22.6,14,29.6
82,9,81.68,1.537,12.8,11,26.8
83,9,81.754,1.805,10.4,9.8,25.9
84,2,84.219,2.105,4.8,5.1,24.1
85,9,83.864,2.639,4.9,5.9,24.3
86,9,80.3,3.075,7.7,8.1,24.8
87,9,79.394,5.703,9.4,9.2,25.9
88,2,82.185,5.821,4.4,4.8,24.3
89,2,83.919,7.059,5.1,5.4,25.4
90,2,84.889,8.441,4.9,5.2,25.9
91,3,85.926,8.867,10.1,9.6,28.6
92,3,86.098,9.162,8.4,8.5,28
93,2,85.873,6.934,2.9,3.6,24.8
94,3,86.361,9.172,9.6,9.3,28.6
95,2,89.052,7.927,3.5,4.1,26.1
96,2,88.582,8.442,7.6,7.2,28
97,2,86.939,4.91,5.5,5.7,25.8
98,9,85.933,0.73,10.1,9.6,26.6
99,2,88.325,1.232,8.2,7.7,26.4
100,12,91.021,0.815,12.8,10.7,28.8
101,12,91.979,1.12,18.1,12.7,31
102,2,92.189,0.909,7.5,7.2,26.9
103,2,90.461,4.176,8.7,8,27.8
104,2,91.083,5.261,11.1,9.6,29.3
105,9,92.733,2.577,3.7,4.7,25.9
106,2,93.04,1.887,8.6,8,27.9
107,12,93.794,1.593,7.3,7.6,27.6
108,12,92.948,3.126,21.9,13.8,33
109,12,96.647,3.684,24.5,14.5,34.8
110,2,95.407,3.453,4.4,4.8,27
111,6,96.523,5.584,21.3,16.8,35
112,9,99.7,3.564,8.3,8.5,30
113,9,99.8,4.159,5.4,6.3,28.9
114,2,99.611,4.846,7.1,6.9,29.6
115,13,97.459,7.947,16,14.6,34
116,2,97.511,11.929,9.9,8.8,32
117,9,96.59,12.017,4.8,5.8,29.8
118,12,97.226,13.401,2.8,3.6,29.2
119,13,94.948,13.887,5.4,7.2,30.4
120,12,94.363,14.394,31.7,15.9,39.1
121,9,93.6,16,2.8,3.8,29
122,12,95.228,17.252,29,15.4,39.2
123,9,95.349,17.53,6.5,7.2,31.6
124,2,95.779,17.78,6.8,6.7,31.8
125,2,97.463,17.021,7.4,7.1,32.2
126,12,95.683,18.948,19.7,13.2,36.9
127,2,93.451,18.102,5.3,5.5,30.6
128,2,93.233,17.973,7.7,7.3,31.6
129,12,91.183,14.188,23.3,14.2,35.7
130,9,90.756,12.299,9.2,9,30.3
131,9,89.359,12.567,11.5,10.4,30.9
132,2,89.732,9.8,3.5,4.1,26.8
133,2,87.102,11.55,5.4,5.6,27.4
134,9,84.744,11.313,3.7,4.7,26.1
135,9,87.218,12.603,5.3,6.2,27.8
136,12,87.742,12.807,19.9,13.3,33.4
137,12,89.628,14.353,4.3,5.1,28.3
138,2,85.192,15.631,10.9,9.5,30.3
139,2,86.106,18.806,5.4,5.6,29
140,2,82.404,17.237,6,6.1,27.9
141,9,82.671,15.707,2.3,3.2,26
142,2,82.531,14.891,5.9,6,27.3
143,2,83.751,12.719,10.5,9.2,29
144,2,83.029,11.831,8,7.5,27.6
145,12,82.334,11.97,5.7,6.3,26.6
146,12,80.258,13.025,22.7,14,32.5
147,2,78.696,13.03,6.2,6.2,26
148,9,76.724,12.909,19.4,13.6,30.6
149,9,79.074,14.973,4.9,5.9,26.2
150,12,78.733,16.34,25.3,14.7,33.8
151,12,78.363,17.54,13.1,10.8,30
152,2,79.338,18.695,6.1,6.1,27.6
153,12,77.073,19.088,27.2,15,34.6
154,1,71.713,18.316,9,8.2,26.8
155,1,68.499,18.012,8.4,7.8,25.7
156,12,66.876,17.118,21.3,13.7,29.7
157,9,68.008,14.588,5.9,6.7,23.8
158,2,65.215,13.744,3.3,3.9,21.5
159,12,66.51,11.664,17.2,12.4,27
160,2,66.613,11.045,5.3,5.5,22.1
161,12,63.254,12.495,18.4,12.8,26.7
162,2,60.832,12.153,7.8,7.4,22
163,2,60.411,14.938,4.8,5.1,21.3
164,6,60.265,16.061,41.6,21.3,34.8
165,2,61.236,17.135,2.1,2.9,20.8
166,2,58.621,17.829,4.2,4.6,21.3
167,2,59.117,15.848,5.4,5.6,21.5
168,9,58.882,13.395,5.5,6.4,21
169,12,58.693,12.143,7.2,7.5,21.4
170,2,57.032,13.736,5.7,5.8,20.6
171,2,55.598,13.792,5.2,5.4,20
172,12,57.339,14.907,9.5,9,22.7
173,2,56.831,15.363,5,5.3,20.6
174,2,55.272,15.33,5.2,5.4,20.3
175,12,54.451,14.285,21.3,13.7,25.9
176,2,52.7,11.709,7.2,7,19.6
177,2,53.752,14.545,7.2,7,20.6
178,12,53.61,15.606,5.5,6.2,20.2
179,2,52.116,13.482,5.3,5.5,19.1
180,2,52.234,17.068,5.8,5.9,20.3
181,2,54.895,18.05,5.3,5.5,20.9
182,2,55.399,10.868,5.3,5.5,19.3
183,2,53.481,19.066,5.9,6,21.1
184,2,52.128,18.841,8.7,8,21.9
185,12,50.747,17.609,25.3,14.7,27.1
186,2,49.092,15.035,8.5,7.9,20.1
187,2,47.722,14.629,6.2,6.2,18.7
188,12,49.088,13.683,13.2,10.9,21.7
189,2,48.792,13.007,8.7,8,19.6
190,2,49.7,11.417,9,8.2,19.6
191,12,47.196,12.225,20.5,13.5,23.3
192,12,45.153,11.545,18.3,12.8,22
