treeno,species,x,y,dbh,ht,cw,,check
1,10,1.028,1.101,1.9,2.7,1.7,1.0281.101,1
2,9,2.536,0.418,8.5,8.6,5,,
3,9,1.678,1.342,11,10.1,6,,
4,9,1.841,1.416,10.1,9.6,5.7,,
5,9,2.585,1.905,12,10.6,6.8,,
6,10,2.331,2.512,1.9,2.7,2.4,,
7,10,3.661,3.06,1.6,2.4,2.7,,
8,12,4.105,3.022,26.5,14.9,12.1,,
9,9,0.49,6.289,5,5.9,4.4,,
10,3,0.424,5.97,1.2,1.8,2.4,,
11,12,0.802,6.338,26.1,14.8,12,,
12,10,1.613,7.519,1.6,2.4,3.3,,
13,12,2.742,7.477,13.7,11.1,8.8,,
14,12,5.345,9.288,11.6,10.1,9.1,,
15,9,6.83,9.806,4.8,5.8,6.8,,
16,3,7.03,9.746,1.5,2.2,5.1,,
17,9,8.773,7.145,5.2,6.1,6.8,,
18,9,7.572,6.734,13.3,11.2,9.7,,
19,3,8.326,7.227,1.3,2,4.7,,
20,12,3.784,6.072,18.5,12.9,10.3,,
21,12,4.946,5.054,5.7,6.3,5.5,,
22,13,6.969,2.158,26.7,18.4,13.6,,
23,12,7.315,0.62,16.9,12.3,9.3,,
24,2,7.964,2.381,5.1,5.4,5.2,,
25,9,14.183,0.937,11.1,10.1,9.1,,
26,9,14.598,2.252,5.6,6.5,7.2,,
27,9,14.742,2.479,7.5,7.9,8.2,,
28,9,14.81,2.953,10.4,9.8,9.5,,
29,9,14.951,3.111,4,5,6.8,,
30,9,14.632,3.454,5.5,6.4,7.5,,
31,9,13.749,4.732,6.1,6.9,7.9,,
32,12,14.579,7.859,29.4,15.5,16.8,,
33,2,16.665,9.245,13.5,11.1,12.6,,
34,9,19.715,9.697,9.9,9.5,12.2,,
35,9,19.693,9.096,8.1,8.3,11.3,,
36,9,19.896,8.022,2,2.8,8.2,,
37,12,18.947,5.068,18.1,12.7,13.7,,
38,12,18.953,4.367,14.2,11.3,12.2,,
39,2,18.403,2.227,8.3,7.7,9.2,,
40,2,16.283,0.537,4.6,5,6.6,,
41,12,19.735,0.575,22.3,13.9,14.1,,
42,9,23.483,1.31,6.1,6.9,9.4,,
43,12,23.495,2.826,15.3,11.8,13.3,,
44,2,26.582,3,24.8,16.6,17.8,,
45,10,24.941,3.297,1.2,2,7.9,,
46,12,24.618,3.187,4.9,5.7,9.6,,
47,12,23.835,3.309,15.6,11.9,13.7,,
48,9,23.681,5.002,15.2,12.1,14,,
49,9,23.526,5.201,8.8,8.8,11.6,,
50,2,21.007,7.264,10.8,9.4,12.1,,
51,9,23.472,7.394,16.7,12.6,15,,
52,2,29.409,7.356,33.7,19.9,22.6,,
53,9,32.084,9.1,10.5,9.8,15.4,,
54,9,32.111,9.392,10.5,9.8,15.5,,
55,10,31.932,2.809,2.1,2.9,9.9,,
56,10,32.952,0.799,6.2,6.2,11.5,,
57,1,38.372,2.898,52.2,24.9,29.6,,
58,10,42.5,1.086,3.5,4.1,12.8,,
59,4,43.907,1.286,1.1,1.5,12,,
60,4,48.362,0.802,1.2,1.7,13,,
61,1,48.291,2.872,23.8,16.2,22.8,,
62,9,44.636,6.42,2,2.8,14,,
63,10,51.22,6.68,1.5,2.3,15.4,,
64,4,50.776,4.43,1.3,1.9,14.6,,
65,4,51.867,4.504,1.2,1.7,14.8,,
66,1,50.32,3.222,19.1,14.1,21.7,,
67,4,52.715,1.327,1.2,1.7,14.2,,
68,4,53.048,1.159,2.9,4.2,15.3,,
69,4,54.073,2.532,2.2,3.2,15.5,,
70,4,56.709,1.169,1.5,2.2,15.4,,
71,4,56.909,1.367,1.9,2.8,15.7,,
72,4,55.68,2.811,1,1.4,15.2,,
73,4,56.264,2.614,2.8,4.1,16.4,,
74,10,55.478,3.703,1.4,2.2,15.7,,
75,4,53.99,5.046,1.1,1.5,15.4,,
76,4,52.937,8.962,2.1,3.1,16.8,,
77,10,52.992,9.264,2.4,3.1,16.9,,
78,10,54.615,5.619,2.8,3.5,16.6,,
79,4,53.376,9.641,1.5,2.2,16.7,,
80,4,54.13,9.345,1.4,2,16.7,,
81,4,55.07,9.552,2.2,3.2,17.5,,
82,4,55.018,6.445,2.3,3.4,16.8,,
83,4,55.124,5.466,1.6,2.3,16.1,,
84,4,56.16,6.646,1.2,1.7,16.4,,
85,4,55.992,7.398,1.2,1.7,16.6,,
86,10,56.464,9.491,4,4.5,18.6,,
